num	title	repo	repo_full	url	status	target	source_pass	notes
122	CBS: A Deep Learning Approach for Encrypted Traffic Classification With Mixed Spatio-Temporal and Statistical Features	CBS	mehdiseydali/CBS	https://github.com/mehdiseydali/CBS	downloaded	source\CBS	pdf_url_high_conf	
124	CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment	Jaquelinedops/CICIoT2023	Jaquelinedops/CICIoT2023	https://github.com/Jaquelinedops/CICIoT2023	downloaded	source\CICIoT2023	github_api_readme_second_round	doi_or_title_in_readme;near_exact_title_overlap
124	CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment	plumpmonkey/CICIoT2023	plumpmonkey/CICIoT2023	https://github.com/plumpmonkey/CICIoT2023	downloaded	source\plumpmonkey_CICIoT2023	github_api_readme_second_round	doi_or_title_in_readme;near_exact_title_overlap
129	Detecting Unknown Encrypted Malicious Traffic in Real Time via Flow Interaction Graph Analysis	HyperVision	fuchuanpu/HyperVision	https://github.com/fuchuanpu/HyperVision	downloaded	source\HyperVision	pdf_url_filtered	
136	FastTraffic: A lightweight method for encrypted traffic fast classification	JieCaoSec/FastTraffic	JieCaoSec/FastTraffic	https://github.com/JieCaoSec/FastTraffic	downloaded	source\FastTraffic	github_api_readme_second_round	near_exact_title_overlap
150	Rosetta: Enabling Robust TLS Encrypted Traffic Classification in Diverse Network Environments with TCP-Aware Traffic Augmentation	Rosetta	sunskyXX/Rosetta	https://github.com/sunskyXX/Rosetta	downloaded	source\Rosetta	pdf_url_high_conf	
152	TFE-GNN: A Temporal Fusion Encoder Using Graph Neural Networks for Fine-grained Encrypted Traffic Classification	ViktorAxelsen/TFE-GNN	ViktorAxelsen/TFE-GNN	https://github.com/ViktorAxelsen/TFE-GNN	downloaded	source\TFE-GNN	github_api_readme_second_round	near_exact_title_overlap
154	Yet Another Traffic Classifier: A Masked Autoencoder Based Traffic Transformer with Multi-Level Flow Representation	YaTC	NSSL-SJTU/YaTC	https://github.com/NSSL-SJTU/YaTC	downloaded	source\YaTC	pdf_url_filtered	
156	A Discrepancy Aware Framework for Robust Anomaly Detection	DAF	caiyuxuan1120/DAF	https://github.com/caiyuxuan1120/DAF	downloaded	source\DAF	pdf_url_filtered	
176	ARISE: Graph Anomaly Detection on Attributed Networks via Substructure Awareness	FelixDJC/ARISE	FelixDJC/ARISE	https://github.com/FelixDJC/ARISE	downloaded	source\FelixDJC_ARISE	github_api_readme_second_round	high_title_overlap_with_code_language;near_exact_title_overlap;strong_code_phrase_partial_title
182	AutoML4ETC: Automated Neural Architecture Search for Real-World Encrypted Traffic Classification	AutoML4ETC	OrangeUW/AutoML4ETC	https://github.com/OrangeUW/AutoML4ETC	downloaded	source\AutoML4ETC	pdf_url_high_conf	
196	Contrasting Estimation of Pattern Prototypes for Anomaly Detection in Urban Crowd Flow	ProtoDetect	yupwang/ProtoDetect	https://github.com/yupwang/ProtoDetect	downloaded	source\ProtoDetect	pdf_url_filtered	
200	Counterfactual Data Augmentation With Denoising Diffusion for Graph Anomaly Detection	CAGAD	ChunjingXiao/CAGAD	https://github.com/ChunjingXiao/CAGAD	downloaded	source\CAGAD	pdf_url_filtered	
206	Detecting Cloud Anomaly via Broad Network-Based Contrastive Autoencoder	BroadCAE	zhongguoxiang/BroadCAE	https://github.com/zhongguoxiang/BroadCAE	failed	source\BroadCAE	pdf_url_filtered	
211	ECNet: Robust Malicious Network Traffic Detection With Multi-View Feature and Confidence Mechanism	Shining20183/ECNet	Shining20183/ECNet	https://github.com/Shining20183/ECNet	downloaded	source\ECNet	github_api_readme_second_round	doi_or_title_in_readme;high_title_overlap_with_code_language;near_exact_title_overlap
213	Encoder-Decoder Contrast for Unsupervised Anomaly Detection in Medical Images	EDC	guojiajeremy/EDC	https://github.com/guojiajeremy/EDC	downloaded	source\EDC	pdf_url_filtered	
236	Graph Autoencoder Anomaly Detection for E-Commerce Application by Contextual Integrating Contrast With Reconstruction and Complementarity	GAAD	jinjiewu2000/GAAD	https://github.com/jinjiewu2000/GAAD	downloaded	source\GAAD	pdf_url_filtered	
252	LLM-TIKG: Threat intelligence knowledge graph construction utilizing large language model	LLM-TIKGdataset	Netsec-SJTU/LLM-TIKGdataset	https://github.com/Netsec-SJTU/LLM-TIKGdataset	failed	source\LLM-TIKGdataset	pdf_url_filtered	
256	Marina : Realizing ML-Driven Real-Time Network Traffic Monitoring at Terabit Scale	Marina	lsinfo3/Marina	https://github.com/lsinfo3/Marina	downloaded	source\Marina	pdf_url_high_conf	
263	MSNet: Self-Supervised Multiscale Network With Enhanced Separation Training for Hyperspectral Anomaly Detection	MSNet	enter-i-username/MSNet	https://github.com/enter-i-username/MSNet	downloaded	source\MSNet	pdf_url_high_conf	
265	Multi-Task Scenario Encrypted Traffic Classification and Parameter Analysis	PETReLM	ssy198/PETReLM	https://github.com/ssy198/PETReLM	downloaded	source\PETReLM	pdf_url_filtered	
267	Multimodal Brain Tumor Segmentation Boosted by Monomodal Normal Brain Images	Normal-BrainBoost-Tumor-Segmentation	hb-liu/Normal-BrainBoost-Tumor-Segmentation	https://github.com/hb-liu/Normal-BrainBoost-Tumor-Segmentation	failed	source\Normal-BrainBoost-Tumor-Segmentation	pdf_url_high_conf	
273	One Model to Find Them All Deep Learning for Multivariate Time-Series Anomaly Detection in Mobile Network Data	DC-VAE	GastonGarciaGonzalez/DC-VAE	https://github.com/GastonGarciaGonzalez/DC-VAE	downloaded	source\DC-VAE	pdf_url_filtered	
274	One Train for Two Tasks: An Encrypted Traffic Classification Framework Using Supervised Contrastive Learning	CLE-TFE	ViktorAxelsen/CLE-TFE	https://github.com/ViktorAxelsen/CLE-TFE	downloaded	source\CLE-TFE	pdf_url_filtered	
287	ReFLIP-VAD: Towards Weakly Supervised Video Anomaly Detection via Vision-Language Model	ReFLIP-VAD	prasaddev97/ReFLIP-VAD	https://github.com/prasaddev97/ReFLIP-VAD	downloaded	source\ReFLIP-VAD	pdf_url_high_conf	
292	RFG-HELAD: A Robust Fine-Grained Network Traffic Anomaly Detection Model Based on Heterogeneous Ensemble Learning	RFG-HELAD	RFG-HELAD/RFG-HELAD	https://github.com/RFG-HELAD/RFG-HELAD	downloaded	source\RFG-HELAD	pdf_url_high_conf	
293	RustGraph: Robust Anomaly Detection in Dynamic Graphs by Jointly Learning Structural-Temporal Dependency	RustGraph	aubreygjh/RustGraph	https://github.com/aubreygjh/RustGraph	downloaded	source\RustGraph	pdf_url_high_conf	
302	Sharing cyber threat intelligence: Does it really help?	CTI	SKKU-SecLab/CTI	https://github.com/SKKU-SecLab/CTI	failed	source\CTI	pdf_url_filtered	
303	SLA2P: Self-Supervised Anomaly Detection With Adversarial Perturbation	SLA2P	wyzjack/SLA2P	https://github.com/wyzjack/SLA2P	downloaded	source\SLA2P	pdf_url_high_conf	
314	Toward Video Anomaly Retrieval From Video Anomaly Detection: New Benchmarks and Model	VAR	Roc-Ng/VAR	https://github.com/Roc-Ng/VAR	downloaded	source\VAR	pdf_url_filtered	
319	UAC-AD: Unsupervised Adversarial Contrastive Learning for Anomaly Detection on Multi-Modal Data in Microservice Systems	lhysgithub/UAC-AD	lhysgithub/UAC-AD	https://github.com/lhysgithub/UAC-AD	downloaded	source\UAC-AD	github_api_readme_second_round	strong_code_phrase_partial_title
332	A Cloud Collaborative-Based Intrusion Detection and Prevention System for IVN	IVAD	yuecao871441562/IVAD	https://github.com/yuecao871441562/IVAD	downloaded	source\IVAD	pdf_url_filtered	
333	A Comprehensive Benchmark and Empirical Study of Trace Anomaly Detection	TADBench	nkalgo/TADBench	https://github.com/nkalgo/TADBench	partial	source\TADBench	pdf_url_filtered;retry_failed_pdf_urls	
334	A Data-Driven Approach to Mitigate Evolving Volumetric Attacks in Programmable Networks	AdapNet-IDS	em-saqib/AdapNet-IDS	https://github.com/em-saqib/AdapNet-IDS	downloaded	source\AdapNet-IDS	pdf_url_filtered;retry_failed_pdf_urls	
351	A Unified Framework for Hybrid Network Intrusion Detection	A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection	wangyann2000/A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection	https://github.com/wangyann2000/A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection	failed	source\A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection	pdf_url_high_conf	
363	An Unsupervised Malicious Web Request Detection Based on Transformer and Contrastive Learning	School-2023-sample	AIOps-tech/School-2023-sample	https://github.com/AIOps-tech/School-2023-sample	downloaded	source\School-2023-sample	pdf_url_filtered	
387	Contrastive Multi-Knowledge Graph Learning for Fake News Detection	Congrat	KG4FD/Congrat	https://github.com/KG4FD/Congrat	downloaded	source\Congrat	pdf_url_filtered	
391	D 3 Former: Dual-Decoder Dual-Transformer Reconstruction Network for Hyperspectral Anomaly Detection	TGRS-D3Former	YKYANG01/TGRS-D3Former	https://github.com/YKYANG01/TGRS-D3Former	downloaded	source\TGRS-D3Former	pdf_url_filtered	
392	DACAD: Domain Adaptation Contrastive Learning for Anomaly Detection in Multivariate Time Series	DACAD	zamanzadeh/DACAD	https://github.com/zamanzadeh/DACAD	downloaded	source\DACAD	pdf_url_high_conf	
396	DeepDRAC: Disposition Recommendation for Alert Clusters Based on Security Event Patterns	DEEPDRACAppendix	Gaofei-Ruan/DEEPDRACAppendix	https://github.com/Gaofei-Ruan/DEEPDRACAppendix	failed	source\DEEPDRACAppendix	pdf_url_filtered	
398	Detecting Smart Home Device Activities Using Packet-Level Signatures From Encrypted Traffic	Packet-based-IoT-Event-Detection	MdShamim097/Packet-based-IoT-Event-Detection	https://github.com/MdShamim097/Packet-based-IoT-Event-Detection	downloaded	source\Packet-based-IoT-Event-Detection	pdf_url_filtered	
400	Detection of Unknown Attacks Through Encrypted Traffic: A Gaussian Prototype-Aided Variational Autoencoder Framework	Open-Detect	niebikong/Open-Detect	https://github.com/niebikong/Open-Detect	downloaded	source\Open-Detect	pdf_url_filtered	
407	Dual Temporal Masked Modeling for KPI Anomaly Detection via Similarity Aggregation	GT-DMASA	colaudiolab/GT-DMASA	https://github.com/colaudiolab/GT-DMASA	downloaded	source\GT-DMASA	pdf_url_filtered	
416	End-to-End Attack Scene Reconstruction in a Host With Rules and Anomaly-Based Detection Models	eaGle	winsen-alpha/eaGle	https://github.com/winsen-alpha/eaGle	downloaded	source\eaGle	pdf_url_filtered	
420	Ensuring Zero Trust IoT Data Privacy: Differential Privacy in Blockchain Using Federated Learning	DP_Blockchain	tariqaup/DP_Blockchain	https://github.com/tariqaup/DP_Blockchain	downloaded	source\DP_Blockchain	pdf_url_high_conf	
421	ERFS: Efficient Feature Graph Representation for Intrusion Detection Based on Flow Semantic Association	ERFS	sixteen23333/ERFS	https://github.com/sixteen23333/ERFS	downloaded	source\ERFS	pdf_url_high_conf	
427	FC2P: Feature Cross-Channel Projection for Unsupervised Anomaly Segmentation	work-2	Karma1628/work-2	https://github.com/Karma1628/work-2	downloaded	source\work-2	pdf_url_filtered	
430	FeCoGraph: Label-Aware Federated Graph Contrastive Learning for Few-Shot Network Intrusion Detection	MaoPopovich/FeCoGraph	MaoPopovich/FeCoGraph	https://github.com/MaoPopovich/FeCoGraph	downloaded	source\FeCoGraph	github_api_readme_second_round	high_title_overlap_with_code_language;near_exact_title_overlap
441	Few-Shot Anomaly Detection via Category-Agnostic Registration Learning	CAReg	Haoyan-Guan/CAReg	https://github.com/Haoyan-Guan/CAReg	downloaded	source\CAReg	pdf_url_filtered	
444	FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network	Hafizh28/FIR-GNN	Hafizh28/FIR-GNN	https://github.com/Hafizh28/FIR-GNN	downloaded	source\FIR-GNN	github_api_readme_second_round	doi_or_title_in_readme;near_exact_title_overlap
444	FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network	MengyiFu/FIR-GNN	MengyiFu/FIR-GNN	https://github.com/MengyiFu/FIR-GNN	downloaded	source\MengyiFu_FIR-GNN	github_api_readme_second_round	doi_or_title_in_readme;near_exact_title_overlap
445	Flow Microelement-Driven Traffic Relationship Analysis: Robust Detection of Malicious Encrypted Traffic	BSTS-Net	gswsfh/BSTS-Net	https://github.com/gswsfh/BSTS-Net	downloaded	source\BSTS-Net	pdf_url_filtered	
447	Frequency-Domain Spectrum Discrepancy-Based Fast Anomaly Detection for IIoT Sensor Time-Series Signals	FADSD	infogroup502/FADSD	https://github.com/infogroup502/FADSD	downloaded	source\FADSD	pdf_url_filtered	
456	GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection	NanWangAC/GT-HAD	NanWangAC/GT-HAD	https://github.com/NanWangAC/GT-HAD	downloaded	source\GT-HAD	github_api_readme_second_round	near_exact_title_overlap
456	GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection	jeline0110/GT-HAD	jeline0110/GT-HAD	https://github.com/jeline0110/GT-HAD	downloaded	source\jeline0110_GT-HAD	github_api_readme_second_round	near_exact_title_overlap
461	Hawkeye: Diagnosing RDMA Network Performance Anomalies with PFC Provenance	wangshicheng1225/Hawkeye	wangshicheng1225/Hawkeye	https://github.com/wangshicheng1225/Hawkeye	downloaded	source\Hawkeye	github_api_readme_second_round	doi_or_title_in_readme;near_exact_title_overlap
465	IAD-GPT: Advancing Visual Knowledge in Multimodal Large Language Model for Industrial Anomaly Detection	IADGPT	LiZeWen1225/IADGPT	https://github.com/LiZeWen1225/IADGPT	failed	source\IADGPT	pdf_url_filtered	
477	Lightweight and Fast Time-Series Anomaly Detection via Point-Level and Sequence-Level Reconstruction Discrepancy	LFTSAD	infogroup502/LFTSAD	https://github.com/infogroup502/LFTSAD	downloaded	source\LFTSAD	pdf_url_filtered	
480	LScAD: A Large–Small Model Collaboration Framework for Unsupervised Industrial Anomaly Detection	LScAD	qsc1103/LScAD	https://github.com/qsc1103/LScAD	downloaded	source\LScAD	pdf_url_filtered	
487	MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification	MIETT	SeciliaCxy/MIETT	https://github.com/SeciliaCxy/MIETT	downloaded	source\MIETT	pdf_url_filtered	
487	MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification	Secilia-Cxy/MIETT	Secilia-Cxy/MIETT	https://github.com/Secilia-Cxy/MIETT	downloaded	source\MIETT	github_api_readme_second_round	manual_known_repo;doi_or_title_in_readme;near_exact_title_overlap
489	Mining Multi-Scale Spatial-Frequency Clues for Unsupervised Intrusion Detection	MSF-IDS	qcydm/MSF-IDS	https://github.com/qcydm/MSF-IDS	downloaded	source\MSF-IDS	pdf_url_filtered	
502	Normalizing-Flow-Based Anomaly Scoring for Intelligent Network Intrusion Detection	trinity-packet	SRI-CSL/trinity-packet	https://github.com/SRI-CSL/trinity-packet	downloaded	source\trinity-packet	pdf_url_filtered	
503	NTLFlowLyzer: Towards generating an intrusion detection dataset and intruders behavior profiling through network and transport layers traffic analysis and pattern extraction	ahlashkari/NTLFlowLyzer	ahlashkari/NTLFlowLyzer	https://github.com/ahlashkari/NTLFlowLyzer	downloaded	source\NTLFlowLyzer	github_api_readme_second_round	doi_or_title_in_readme;near_exact_title_overlap
505	Overcoming the Identity Mapping Problem in Self-Supervised Hyperspectral Anomaly Detection	Super-AD	yc-cui/Super-AD	https://github.com/yc-cui/Super-AD	downloaded	source\Super-AD	pdf_url_filtered	
509	Privacy-Preserving Lightweight Time-Series Anomaly Detection for Resource-Limited Industrial IoT Edge Devices	PPLAD	infogroup502/PPLAD	https://github.com/infogroup502/PPLAD	downloaded	source\PPLAD	pdf_url_filtered	
522	Revolutionizing Encrypted Traffic Classification with MH-Net: A Multi-View Heterogeneous Graph Model	MH-Net	ViktorAxelsen/MH-Net	https://github.com/ViktorAxelsen/MH-Net	downloaded	source\MH-Net	pdf_url_filtered	
526	Robustifying ML-powered Network Classifiers with PANTS	jinminhao/PANTS	jinminhao/PANTS	https://github.com/jinminhao/PANTS	downloaded	source\PANTS	github_api_readme_second_round	near_exact_title_overlap
527	Robustness Matters: Pre-Training Can Enhance the Performance of Encrypted Traffic Analysis	BERT-ps	Shangshu-LAB/BERT-ps	https://github.com/Shangshu-LAB/BERT-ps	downloaded	source\BERT-ps	pdf_url_filtered	
537	Self-Calibrated CLIP for Training-Free Open-Vocabulary Segmentation	SCCLIP	SuleBai/SCCLIP	https://github.com/SuleBai/SCCLIP	failed	source\SCCLIP	pdf_url_filtered	
538	Self-Supervised Adaptation Method to Concept Drift for Network Intrusion Detection	ReCDA	kalendsyang/ReCDA	https://github.com/kalendsyang/ReCDA	downloaded	source\ReCDA	pdf_url_filtered	
540	Self-Supervised Anomaly Detection With Neural Transformations	NeuTraL-AD	boschresearch/NeuTraL-AD	https://github.com/boschresearch/NeuTraL-AD	downloaded	source\NeuTraL-AD	pdf_url_filtered	
547	SnifferDog: Comprehensively Learning Heterogeneous Features of Network Traffic to Identify Malicious Flows	SnifferDog	ciat-gzhu/SnifferDog	https://github.com/ciat-gzhu/SnifferDog	downloaded	source\SnifferDog	pdf_url_filtered	
557	TeRed: Normal Behavior-Based Efficient Provenance Graph Reduction for Large-Scale Attack Forensics	TeRed	THSS-GAD/TeRed	https://github.com/THSS-GAD/TeRed	downloaded	source\TeRed	pdf_url_filtered	
559	The Sweet Danger of Sugar: Debunking Representation Learning for Encrypted Traffic Classification	Debunk_Traffic_Representation	SmartData-Polito/Debunk_Traffic_Representation	https://github.com/SmartData-Polito/Debunk_Traffic_Representation	downloaded	source\Debunk_Traffic_Representation	pdf_url_filtered	
566	TrafficFormer: An Efficient Pre-trained Model for Traffic Data	TrafficFormer	IDP-code/TrafficFormer	https://github.com/IDP-code/TrafficFormer	downloaded	source\TrafficFormer	pdf_url_filtered	
567	TrafficLLM: Enhancing Large Language Models for Network Traffic Analysis with Generic Traffic Representation	TrafficLLM	ZGC-LLM-Safety/TrafficLLM	https://github.com/ZGC-LLM-Safety/TrafficLLM	downloaded	source\TrafficLLM	pdf_url_filtered	
568	Training Robust Classifiers for Classifying Encrypted Traffic under Dynamic Network Conditions	MAML-Training-ETC	XXnormal/MAML-Training-ETC	https://github.com/XXnormal/MAML-Training-ETC	downloaded	source\MAML-Training-ETC	pdf_url_filtered	
572	VarAD: Lightweight High-Resolution Image Anomaly Detection via Visual Autoregressive Modeling	VarAD	caoyunkang/VarAD	https://github.com/caoyunkang/VarAD	downloaded	source\VarAD	pdf_url_filtered	
586	A Novel Contrastive Loss for Zero-Day Network Intrusion Detection	CLOSR	jackwilkie/CLOSR	https://github.com/jackwilkie/CLOSR	downloaded	source\CLOSR	pdf_url_filtered;retry_failed_pdf_urls	
594	Adapting Large Language Models for Encrypted Traffic Analysis Services: An Efficient Realization With Mixture of LoRA Experts	TrafficLLM	yiliucs/TrafficLLM	https://github.com/yiliucs/TrafficLLM	downloaded	source\TrafficLLM	pdf_url_filtered	
596	Adaptive Graph Filtering Neural Network for Graph Anomaly Detection	AGFNN	TFboys-lzz/AGFNN	https://github.com/TFboys-lzz/AGFNN	downloaded	source\AGFNN	pdf_url_filtered	
601	Advancing Pre-Trained Teacher: Towards Robust Feature Discrepancy for Anomaly Detection	AAND	Hui-design/AAND	https://github.com/Hui-design/AAND	downloaded	source\AAND	pdf_url_filtered	
610	Ano2Rule: Rule-Based Global Interpretation for Unsupervised Anomaly Detection in Security	UADRule-Extraction	Ruoyu-Li/UADRule-Extraction	https://github.com/Ruoyu-Li/UADRule-Extraction	failed	source\UADRule-Extraction	pdf_url_filtered	
613	AUCp: Pseudo-AUC for Inference Model Selection with Unlabeled Validation Data in Abnormality Detection	AUCp	mahfuzmohammad/AUCp	https://github.com/mahfuzmohammad/AUCp	downloaded	source\AUCp	pdf_url_filtered	
626	CELLSHIFT: RTT-Aware Trace Transduction for Real-World Website Fingerprinting	robgjansen/cellshift	robgjansen/cellshift	https://github.com/robgjansen/cellshift	downloaded	source\cellshift	github_api_readme_second_round	doi_or_title_in_readme;near_exact_title_overlap
630	Clustering Diffusion Model With Frequency-Signal Modulation for Variational Graph Autoencoders	FVD	Roiko97/FVD	https://github.com/Roiko97/FVD	downloaded	source\FVD	pdf_url_filtered	
632	Comparative Analysis of Deep Learning Models for Real-World ISP Network Traffic Forecasting	isp-forecasting-benchmark	koumajos/isp-forecasting-benchmark	https://github.com/koumajos/isp-forecasting-benchmark	downloaded	source\isp-forecasting-benchmark	pdf_url_filtered	
633	Contextual Masking Distillation for Network Traffic Anomaly Detection	ConMD	ikun0124/ConMD	https://github.com/ikun0124/ConMD	downloaded	source\ConMD	pdf_url_filtered	
637	DAIR-FedMoE: Hierarchical MoE for Federated Encrypted Traffic Classification under Compound Drift	DairFM	dairfedmoe/DairFM	https://github.com/dairfedmoe/DairFM	downloaded	source\DairFM	pdf_url_filtered	
638	DALAD: Unsupervised Detection of Global and Local Anomalies in Microservice Systems	intse/DALAD	intse/DALAD	https://github.com/intse/DALAD	downloaded	source\DALAD	github_api_readme_second_round	doi_or_title_in_readme;high_title_overlap_with_code_language;near_exact_title_overlap;strong_code_phrase_partial_title
641	Decompose to Understand, Fuse to Detect: Frequency-Decoupled Anomaly Detection for Encrypted Network Traffic	FreeUp	ikun0124/FreeUp	https://github.com/ikun0124/FreeUp	downloaded	source\FreeUp	pdf_url_filtered	
646	Disentangled Graph Prompting for Out-Of-Distribution Detection	DGP	BUPT-GAMMA/DGP	https://github.com/BUPT-GAMMA/DGP	downloaded	source\DGP	pdf_url_filtered	
648	Divergence-Regularized Federated GANs for Effective Cyber-Attack Detection on Non-IID and Unlabeled Edge Activity Data	FedGAD	TII-25-8978/FedGAD	https://github.com/TII-25-8978/FedGAD	failed	source\FedGAD	pdf_url_filtered	
650	DSecO: Domain Name System (DNS) Data as a Knowledge Graph for Enhanced Security Analysis	dns-graph	abhisek/dns-graph	https://github.com/abhisek/dns-graph	downloaded	source\dns-graph	pdf_url_filtered	
651	Dual-Masked and Discriminative Reconstruction for Unified Vision Anomaly Detection	D2Rec	gaobb/D2Rec	https://github.com/gaobb/D2Rec	downloaded	source\D2Rec	pdf_url_filtered	
654	Early-Stage Detection of Encrypted Malware Traffic via Multi-Flow Temporal Graph Learning	DawnGuard	jiajizhe1997/DawnGuard	https://github.com/jiajizhe1997/DawnGuard	downloaded	source\DawnGuard	pdf_url_filtered	
667	Enhancing Intrusion Detection via Interpretable Inter-Flow Spatio-Temporal Graphs and Intra-Flow Features	IF2STG	Akap-vv/IF2STG	https://github.com/Akap-vv/IF2STG	failed	source\IF2STG	pdf_url_filtered	
668	Enhancing Trust Management System for Connected Autonomous Vehicles Using Machine Learning Methods: A Survey	ML-TMS-CAV-Survey	octoberzzzzz/ML-TMS-CAV-Survey	https://github.com/octoberzzzzz/ML-TMS-CAV-Survey	failed	source\ML-TMS-CAV-Survey	pdf_url_filtered	
668	Enhancing Trust Management System for Connected Autonomous Vehicles Using Machine Learning Methods: A Survey	ML-based-TMSCAV-Survey	octoberzzzzz/ML-based-TMSCAV-Survey	https://github.com/octoberzzzzz/ML-based-TMSCAV-Survey	failed	source\ML-based-TMSCAV-Survey	pdf_url_filtered	
669	Enhancing Website Fingerprinting Attacks against Traffic Drift	Adaptive-WF-Attack	Xinhao-Deng/Adaptive-WF-Attack	https://github.com/Xinhao-Deng/Adaptive-WF-Attack	downloaded	source\Adaptive-WF-Attack	pdf_url_filtered	
671	EO-EPTC: End-to-End Original Traffic-Based Encrypted Proxy Traffic Classification Framework	wzujhj/EO-EPTC	wzujhj/EO-EPTC	https://github.com/wzujhj/EO-EPTC	downloaded	source\EO-EPTC	github_api_readme_second_round	near_exact_title_overlap
