name	path	is_git	remote	head
E-ResGAT	source\E-ResGAT	True	https://github.com/George730/E-ResGAT.git	3e0ceb8
eaGle	source\eaGle	True	https://github.com/winsen-alpha/eaGle	6dd75ea
ECNet	source\ECNet	True	https://github.com/Shining20183/ECNet.git	667eb80
EDC	source\EDC	True	https://github.com/guojiajeremy/EDC	4c29ccb
EO-EPTC	source\EO-EPTC	True	https://github.com/wzujhj/EO-EPTC.git	d82f4b2
ERFS	source\ERFS	True	https://github.com/sixteen23333/ERFS	f577642
ET-BERT	source\ET-BERT	True	https://github.com/linwhitehat/ET-BERT	42b950b
Euler	source\Euler	True	https://github.com/iHeartGraph/Euler	b6ab8fd
FADSD	source\FADSD	True	https://github.com/infogroup502/FADSD	70d543b
FARE	source\FARE	True	https://github.com/junjieliang672/FARE	1176ac0
FastTraffic	source\FastTraffic	True	https://github.com/JieCaoSec/FastTraffic.git	3f77d04
FeCoGraph	source\FeCoGraph	True	https://github.com/MaoPopovich/FeCoGraph.git	d04b984
FED-TL	source\FED-TL	True	git@github.com:1144160159/research.git	502db87
fedscope	source\fedscope	True	https://github.com/SmartData-Polito/fedscope	e437cfb
FedUnSilApps	source\FedUnSilApps	True	https://github.com/sailorlee97/FedUnSilApps	8c5eddb
FelixDJC_ARISE	source\FelixDJC_ARISE	True	https://github.com/FelixDJC/ARISE.git	856d11a
FIR-GNN	source\FIR-GNN	True	https://github.com/Hafizh28/FIR-GNN.git	cd59fe8
FlowPrint	source\FlowPrint	True	https://github.com/Thijsvanede/FlowPrint	4b70a91
FreeUp	source\FreeUp	True	https://github.com/ikun0124/FreeUp	6313b87
Fs-net	source\Fs-net	True	https://github.com/Akrusher/Fs-net.git	e8e41b4
FVD	source\FVD	True	https://github.com/Roiko97/FVD	1fb8515
GAAD	source\GAAD	True	https://github.com/jinjiewu2000/GAAD	54eee2d
gansformer	source\gansformer	True	https://github.com/dorarad/gansformer	3a9efa4
GiO-GiT	source\GiO-GiT	True	git@github.com:1144160159/research.git	502db87
GT-DMASA	source\GT-DMASA	True	https://github.com/colaudiolab/GT-DMASA	2132ee2
GT-HAD	source\GT-HAD	True	https://github.com/NanWangAC/GT-HAD.git	8862061
Hawkeye	source\Hawkeye	True	https://github.com/wangshicheng1225/Hawkeye.git	6637164
HierGNN	source\HierGNN	True	https://github.com/guolong-zheng/HierGNN	3ae9bdf
HKD-Net	source\HKD-Net	True	https://github.com/lzp8341/HKD-Net	bb8cc11
HyperVision	source\HyperVision	True	https://github.com/fuchuanpu/HyperVision	fa4500c
ICAD	source\ICAD	True	https://github.com/Anomaly-Detection3/ICAD	5e831f1
IDS-LLM	source\IDS-LLM	True	git@github.com:1144160159/research.git	502db87
isp-forecasting-benchmark	source\isp-forecasting-benchmark	True	https://github.com/koumajos/isp-forecasting-benchmark	56ad07d
IVAD	source\IVAD	True	https://github.com/yuecao871441562/IVAD	2858782
jeline0110_GT-HAD	source\jeline0110_GT-HAD	True	https://github.com/jeline0110/GT-HAD.git	c118ee0
Krystal	source\Krystal	True	https://github.com/sepses/Krystal.git	ddfc283
LaGraph	source\LaGraph	True	https://github.com/hit-zsc/LaGraph	4dc931a
LFTSAD	source\LFTSAD	True	https://github.com/infogroup502/LFTSAD	779859d
LLM-TIKG-dataset	source\LLM-TIKG-dataset	True	https://github.com/Netsec-SJTU/LLM-TIKG-dataset.git	4da8593
LScAD	source\LScAD	True	https://github.com/qsc1103/LScAD	9ce9134
LUK	source\LUK	True	git@github.com:1144160159/research.git	502db87
MAD-MulW	source\MAD-MulW	True	https://github.com/2024ChenYP/MAD-MulW	ebd4763
MAD-ODE	source\MAD-ODE	True	https://github.com/AIOps-tech/MAD-ODE	b1862d9
MAML-Training-ETC	source\MAML-Training-ETC	True	https://github.com/XXnormal/MAML-Training-ETC	2272d25
MaMPF	source\MaMPF	True	https://github.com/WSPTTH/MaMPF.git	90f05db
Marina	source\Marina	True	git@github.com:1144160159/research.git	502db87
MemoryNet	source\MemoryNet	True	https://github.com/zhangbaijin/MemoryNet	c82305f
MengyiFu_FIR-GNN	source\MengyiFu_FIR-GNN	True	https://github.com/MengyiFu/FIR-GNN.git	1181a31
MH-Net	source\MH-Net	True	https://github.com/ViktorAxelsen/MH-Net	84b5fe2
MIETT	source\MIETT	True	https://github.com/Secilia-Cxy/MIETT.git	e44de28
MSF-IDS	source\MSF-IDS	True	https://github.com/qcydm/MSF-IDS	bb8ccf5
MSNet	source\MSNet	True	https://github.com/enter-i-username/MSNet.git	6433192
MT-KD	source\MT-KD	True	https://github.com/NJS-HZ/MT-KD	725ac81
Multimodal-Reasoning-with-LLM-for-Encrypted-Traffic-Interpretation-A-Benchmark	source\Multimodal-Reasoning-with-LLM-for-Encrypted-Traffic-Interpretation-A-Benchmark	True	git@github.com:1144160159/research.git	502db87
MVMTL	source\MVMTL	True	https://github.com/3Clinton/MVMTL	a3b734c
NetMasquerade	source\NetMasquerade	True	git@github.com:1144160159/research.git	502db87
NeuTraL-AD	source\NeuTraL-AD	True	https://github.com/boschresearch/NeuTraL-AD	6aa0510
NeuTraL-AD-NTL	source\NeuTraL-AD-NTL	True	git@github.com:1144160159/research.git	502db87
NTLFlowLyzer	source\NTLFlowLyzer	True	https://github.com/ahlashkari/NTLFlowLyzer.git	d99cd53
OIPR	source\OIPR	True	https://github.com/weatherjyh/OIPR	b0d9d85
Open-CyKG	source\Open-CyKG	True	https://github.com/IS5882/Open-CyKG.git	7a793bd
Open-Detect	source\Open-Detect	True	https://github.com/niebikong/Open-Detect	b50a185
Packet-based-IoT-Event-Detection	source\Packet-based-IoT-Event-Detection	True	https://github.com/MdShamim097/Packet-based-IoT-Event-Detection	71fc865
PANTS	source\PANTS	True	https://github.com/jinminhao/PANTS.git	7550088
PETReLM	source\PETReLM	True	https://github.com/ssy198/PETReLM	852c87b
plumpmonkey_CICIoT2023	source\plumpmonkey_CICIoT2023	True	https://github.com/plumpmonkey/CICIoT2023.git	28b6261
PPLAD	source\PPLAD	True	https://github.com/infogroup502/PPLAD	3794e95
ProtoDetect	source\ProtoDetect	True	https://github.com/yupwang/ProtoDetect	37867d5
ReCDA	source\ReCDA	True	https://github.com/kalendsyang/ReCDA	f7edd03
ReFLIP-VAD	source\ReFLIP-VAD	True	git@github.com:1144160159/research.git	502db87
ResHybnet	source\ResHybnet	True	https://github.com/Wayne-on-the-road/ResHybnet.git	c923423
RFG-HELAD	source\RFG-HELAD	True	https://github.com/RFG-HELAD/RFG-HELAD	a358b65
Rosetta	source\Rosetta	True	https://github.com/sunskyXX/Rosetta	f827044
RustGraph	source\RustGraph	True	https://github.com/aubreygjh/RustGraph.git	997f96b
School-2023-sample	source\School-2023-sample	True	https://github.com/AIOps-tech/School-2023-sample	bc35c3d
Sieve	source\Sieve	True	https://github.com/niebikong/Sieve	d071e7a
SLA2P	source\SLA2P	True	https://github.com/wyzjack/SLA2P.git	0f2aef0
SnifferDog	source\SnifferDog	True	https://github.com/ciat-gzhu/SnifferDog	5b5bd45
ssmctb	source\ssmctb	True	git@github.com:1144160159/research.git	502db87
STAC	source\STAC	True	https://github.com/djene-mengistu/STAC	50b31e0
StatGraph	source\StatGraph	True	https://github.com/wangkai-tech23/StatGraph	ed57374
Super-AD	source\Super-AD	True	https://github.com/yc-cui/Super-AD	117b739
TADBench	source\TADBench	True	https://github.com/nkalgo/TADBench	8841b5b
TeRed	source\TeRed	True	https://github.com/THSS-GAD/TeRed	e8e6ec9
TFE-GNN	source\TFE-GNN	True	https://github.com/ViktorAxelsen/TFE-GNN.git	e62cb9f
TGRS-D3Former	source\TGRS-D3Former	True	https://github.com/YKYANG01/TGRS-D3Former	ca005d5
TIME-VAD	source\TIME-VAD	True	https://github.com/sumitmishra209/TIME-VAD	4300de9
tipsoganmod	source\tipsoganmod	True	git@github.com:1144160159/research.git	502db87
TraceCluster	source\TraceCluster	True	https://github.com/CSNS-Lab/TraceCluster	1d0dbd7
Traffic-Classification	source\Traffic-Classification	True	https://github.com/wmn7/Traffic-Classification	8a92712
TrafficFormer	source\TrafficFormer	True	https://github.com/IDP-code/TrafficFormer	6d0ba64
TrafficLLM	source\TrafficLLM	True	https://github.com/ZGC-LLM-Safety/TrafficLLM	95b88f7
trinity-packet	source\trinity-packet	True	https://github.com/SRI-CSL/trinity-packet	b6ed620
UAC-AD	source\UAC-AD	True	https://github.com/lhysgithub/UAC-AD.git	e744f0f
UM-NIDS-Tool	source\UM-NIDS-Tool	True	git@github.com:1144160159/research.git	502db87
UniNet	source\UniNet	True	https://github.com/Binghui99/UniNet	238047c
VAR	source\VAR	True	https://github.com/Roc-Ng/VAR	a724ee1
VarAD	source\VarAD	True	https://github.com/caoyunkang/VarAD	0158a78
work-2	source\work-2	True	https://github.com/Karma1628/work-2	cc58276
WSPTTH_FS-Net	source\WSPTTH_FS-Net	True	https://github.com/WSPTTH/FS-Net.git	526bb76
XIPHOS	source\XIPHOS	True	git@github.com:1144160159/research.git	502db87
YaTC	source\YaTC	True	https://github.com/NSSL-SJTU/YaTC	a220b75
ygchen1_eo-eptc	source\ygchen1_eo-eptc	True	https://github.com/ygchen1/eo-eptc.git	b2310da
