编号,题名,年份,DOI,PDF,大类,二级类,创新点标签,科学问题标签,相关性,相关性分数,代码状态,代码仓库,方法关键词
11,On Inferring Application Protocol Behaviors in Encrypted Network Traffic,2006,10.5555/1248547.1248647,paper/10.5555_1248547.1248647.pdf,基础理论、密码协议与安全机制,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,中相关,8,未发现,,Inferring; Application; Protocol; Behaviors; Encrypted; Network; Traffic; Several
12,Bayesian Neural Networks for Internet Traffic Classification,2006,10.1109/tnn.2006.883010,paper/10.1109_tnn.2006.883010.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制,强相关,12,未发现,,Bayesian; Neural; Networks; Internet; Traffic; Classification
13,A survey of techniques for internet traffic classification using machine learning,2008,10.1109/surv.2008.080406,paper/10.1109_surv.2008.080406.pdf,加密流量分类与应用识别,数据集、基准、综述与开源工具; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现; 加密与隐私保护造成可观测特征缺失,强相关,10,未发现,,Simple; TCP; UDP; New
14,Machine learning based encrypted traffic classification: Identifying SSH and Skype,2009,10.1109/cisda.2009.5356534,paper/10.1109_cisda.2009.5356534.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,10,未发现,,Machine; Identifying; SSH; Skype
15,". Kwon, and Y. Choi,",2010,10.1145/1921168.1921180,paper/10.1145_1921168.1921180.pdf,加密流量分类与应用识别,,数据集、基准、工具与系统化评测,开放世界未知攻击与误报控制,强相关,11,未发现,,Kwon; Choi; America; Recent; Internet; ISPs
16,Untangling Attribution: Moving to Accountability in Cyberspace,2010,,paper/Untangling%20Attribution%20-%20Moving%20to%20Accountability%20in%20Cyberspace.pdf,基础理论、密码协议与安全机制,,可解释性、规则抽取与因果分析,模型可解释、可信与可审计,弱相关,0,未发现,,Untangling; Attribution; Moving; Accountability; Cyberspace
17,Analysis of country-wide internet outages caused by censorship,2011,10.1145/2068816.2068818,paper/10.1145_2068816.2068818.pdf,恶意流量、暗网与攻击检测,,应用场景与系统化验证,开放世界未知攻击与误报控制,中相关,6,未发现,,Analysis
18,IP traffic classification based on machine learning,2011,10.1109/icct.2011.6158005,paper/10.1109_icct.2011.6158005.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,开放世界未知攻击与误报控制,中相关,8,未发现,,
19,Benchmarking two techniques for Tor classification: Flow level and circuit level classification,2014,10.1109/cicybs.2014.7013368,paper/10.1109_cicybs.2014.7013368.pdf,数据集、基准、综述与开源工具,加密流量分类与应用识别; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现; 加密与隐私保护造成可观测特征缺失,中相关,6,未发现,,Benchmarking; Tor; Flow; Recently; TCP; ISP; Our
20,Homomorphic Encryption,2014,10.1007/978-3-319-12229-8_2,paper/10.1007_978-3-319-12229-8_2.pdf,基础理论、密码协议与安全机制,,应用场景与系统化验证,开放世界未知攻击与误报控制,弱相关,1,未发现,,Homomorphic; Encryption; Recent
21,"Information Privacy Engineering and Privacy by Design: Understanding Privacy Threats, Technology, and Regulations Based on Standards and Best Practices",2014,10.5555/3384141,paper/10.5555_3384141.pdf,其他AI安全与跨域异常检测,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,弱相关,0,未发现,,Information; Privacy; Engineering; Design; Understanding; Threats; Technology; Regulations
22,A survey of methods for encrypted traffic classification and analysis,2015,10.1002/nem.1901,paper/10.1002_nem.1901.pdf,加密流量分类与应用识别,数据集、基准、综述与开源工具; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,14,未发现,,First; Internet
23,Traffic flow analysis of tor pluggable transports,2015,10.1109/cnsm.2015.7367356,paper/10.1109_cnsm.2015.7367356.pdf,加密流量分类与应用识别,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Traffic
24,Characterization of Encrypted and VPN Traffic using Time-related Features,2016,10.5220/0005740704070414,paper/10.5220_0005740704070414.pdf,加密流量分类与应用识别,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,14,未发现,,Characterization; Encrypted; VPN; Traffic; Time-related; Features; Virtual; Private
25,An Introduction to Deep Learning for the Physical Layer,2017,10.1109/tccn.2017.2758370,paper/10.1109_tccn.2017.2758370.pdf,其他AI安全与跨域异常检测,,应用场景与系统化验证,开放世界未知攻击与误报控制,弱相关,1,未发现,,Introduction; Deep; Learning; Physical; Layer; autoencoder
26,Characterization of Tor Traffic using Time based Features,2017,10.5220/0006105602530262,paper/10.5220_0006105602530262.pdf,加密流量分类与应用识别,,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,13,未发现,,Characterization; Tor; Traffic; Time; Features; Internet; Encryption
27,End-to-end encrypted traffic classification with one-dimensional convolution neural networks,2017,10.1109/isi.2017.8004872,paper/10.1109_isi.2017.8004872.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束; 数据集代表性、标准化评测与可复现,强相关,13,候选不可访问,cnntraffic,End-to-end; Traffic; Some; VPN
28,Network Traffic Classifier With Convolutional and Recurrent Neural Networks for Internet of Things,2017,10.1109/ACCESS.2017.2747560,paper/10.1109_ACCESS.2017.2747560.pdf,IoT、车联网、工业互联网与边缘安全,,应用场景与系统化验证,开放世界未知攻击与误报控制,中相关,7,未发现,,Network; Traffic; Classifier; Convolutional; Recurrent; Neural; Networks; Internet
29,A Survey on Tor Encrypted Traffic Monitoring,2018,10.14569/ijacsa.2018.090815,paper/10.14569_ijacsa.2018.090815.pdf,加密流量分类与应用识别,数据集、基准、综述与开源工具; 网络流量监测、测量与工具,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,15,未发现,,Survey; Tor; Encrypted; Traffic; Monitoring; Onion; Router; Therefore
30,Co-teaching: Robust Training of Deep Neural Networks with Extremely Noisy Labels,2018,10.48550/arXiv.1804.06872,paper/10.48550_arXiv.1804.06872.pdf,其他AI安全与跨域异常检测,,鲁棒性、对抗防御与可信检测,标签稀缺、类别不平衡与长尾攻击; 对抗规避、污染与鲁棒性,弱相关,2,已下载,Co-teaching -> source\Co-teaching,Co-teaching; Robust; Training; Deep; Neural; Networks; Extremely; Noisy
31,Deciphering malware’s use of TLS (without decryption),2018,10.1007/s11416-017-0306-6,paper/10.1007_s11416-017-0306-6.pdf,加密流量分类与应用识别,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,中相关,8,未发现,,Deciphering; TLS
32,Handbook of Applied Cryptography,2018,10.1201/9781439821916,paper/10.1201_9781439821916.pdf,图学习、知识图谱与威胁情报,基础理论、密码协议与安全机制,应用场景与系统化验证,多源异构数据融合与上下文建模,弱相关,3,未发现,,Handbook; Applied; Cryptography
33,How far can we push flow analysis to identify encrypted anonymity network traffic?,2018,10.1109/noms.2018.8406156,paper/10.1109_noms.2018.8406156.pdf,加密流量分类与应用识别,,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,16,未发现,,How; Anonymity; Such; Internet; Multilayer; IRC; One
34,How to Achieve High Classification Accuracy with Just a Few Labels: A Semi-supervised Approach Using Sampled Packets,2018,10.48550/arXiv.1812.09761,paper/10.48550_arXiv.1812.09761.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,自监督、对比学习与少样本学习,标签稀缺、类别不平衡与长尾攻击,强相关,12,未发现,,How; Achieve; High; Classification; Accuracy; Just; Few; Labels
35,MaMPF: Encrypted Traffic Classification Based on Multi-Attribute Markov Probability Fingerprints,2018,10.1109/iwqos.2018.8624124,paper/10.1109_iwqos.2018.8624124.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,强相关,16,已下载,WSPTTH/MaMPF -> source\MaMPF,MaMPF; Encrypted; Traffic; Classification; Based; Multi-Attribute; Markov; Probability
36,On blockchain and its integration with IoT. Challenges and opportunities,2018,10.1016/j.future.2018.05.046,paper/10.1016_j.future.2018.05.046.pdf,联邦学习、隐私保护与分布式协同,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,边缘、IoT、车联网与工业场景约束,弱相关,3,未发现,,IoT; Challenges; Internet; Things; Taking; Blockchain
37,Toward Generating a New Intrusion Detection Dataset and Intrusion Traffic Characterization,2018,10.5220/0006639801080116,paper/10.5220_0006639801080116.pdf,入侵检测与网络异常检测,数据集、基准、综述与开源工具,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现,强相关,15,未发现,,Toward; Generating; New; Intrusion; Detection; Dataset; Traffic; Characterization
38,A Survey on Big Data for Network Traffic Monitoring and Analysis,2019,10.1109/tnsm.2019.2933358,paper/10.1109_tnsm.2019.2933358.pdf,数据集、基准、综述与开源工具,网络流量监测、测量与工具; 加密流量分类与应用识别,数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,数据集代表性、标准化评测与可复现; 加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,强相关,11,未发现,,Survey; Big; Data; Network; Traffic; Monitoring; Analysis; NTMA
39,Blockchain for Internet of Things: A Survey,2019,10.1109/jiot.2019.2920987,paper/10.1109_jiot.2019.2920987.pdf,数据集、基准、综述与开源工具,IoT、车联网、工业互联网与边缘安全; 联邦学习、隐私保护与分布式协同,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,数据集代表性、标准化评测与可复现; 边缘、IoT、车联网与工业场景约束; 高速流量实时检测与资源约束,弱相关,2,未发现,,Blockchain; Internet; Things; Survey; IoT; However; All
40,BlockDeepNet: A Blockchain-Based Secure Deep Learning for IoT Network,2019,10.3390/su11143974,paper/10.3390_su11143974.pdf,联邦学习、隐私保护与分布式协同,其他AI安全与跨域异常检测; IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练,边缘、IoT、车联网与工业场景约束,中相关,6,未发现,,BlockDeepNet; Blockchain-Based; Secure; Deep; Learning; IoT; Network; Big
41,$Deep-Full-Range$ : A Deep Learning Based Network Encrypted Traffic Classification and Intrusion Detection Framework,2019,10.1109/access.2019.2908225,paper/10.1109_access.2019.2908225.pdf,加密流量分类与应用识别,入侵检测与网络异常检测; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,强相关,16,未发现,,Deep-Full-Range; Deep; Learning; Based; Network; Encrypted; Traffic; Classification
42,Encrypted Traffic Analysis: Use Cases & Security Challenges,2019,,paper/Encrypted%20Traffic%20Analysis%20-%20Use%20Cases%20%26%20Security%20Challenges.pdf,加密流量分类与应用识别,网络流量监测、测量与工具,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,10,未发现,,Encrypted; Traffic; Analysis; Use; Cases; Security; Challenges
43,FS-Net: A Flow Sequence Network For Encrypted Traffic Classification,2019,10.1109/infocom.2019.8737507,paper/10.1109_infocom.2019.8737507.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,15,已下载,Akrusher/Fs-net -> source\Fs-net; WSPTTH/FS-Net -> source\WSPTTH_FS-Net,FS-Net; Flow; Sequence; Network; Encrypted; Traffic; Classification; Combining
44,MIRAGE: Mobile-app Traffic Capture and Ground-truth Creation,2019,10.1109/cccs.2019.8888137,paper/10.1109_cccs.2019.8888137.pdf,加密流量分类与应用识别,网络流量监测、测量与工具,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化; 数据集代表性、标准化评测与可复现,中相关,9,未发现,,MIRAGE; Mobile-app; Traffic; Capture; Ground-truth; Creation; Network; Even
45,"Mobile Encrypted Traffic Classification Using Deep Learning: Experimental Evaluation, Lessons Learned, and Challenges",2019,10.1109/tnsm.2019.2899085,paper/10.1109_tnsm.2019.2899085.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现; 高速流量实时检测与资源约束,强相关,14,未发现,,Mobile; Encrypted; Traffic; Classification; Using; Deep; Learning; Experimental
46,Towards the Deployment of Machine Learning Solutions in Network Traffic Classification: A Systematic Survey,2018,10.1109/comst.2018.2883147,paper/10.1109_comst.2018.2883147.pdf,加密流量分类与应用识别,数据集、基准、综述与开源工具; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,数据集代表性、标准化评测与可复现; 加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,强相关,14,未发现,,Towards; Deployment; Machine; Learning; Solutions; Network; Traffic; Classification
47,A Dive into the Dark Web: Hierarchical Traffic Classification of Anonymity Tools,2019,10.1109/tnse.2019.2901994,paper/10.1109_tnse.2019.2901994.pdf,加密流量分类与应用识别,数据集、基准、综述与开源工具; 其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现; 加密与隐私保护造成可观测特征缺失,强相关,10,未发现,,Dive; Dark; Web; Hierarchical; Traffic; Classification; Anonymity; Tools
48,An Encrypted Traffic Classification Framework Based on Convolutional Neural Networks and Stacked Autoencoders,2020,10.1109/iccc51575.2020.9344978,paper/10.1109_iccc51575.2020.9344978.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Encrypted; Traffic; Classification; Framework; Based; Convolutional; Neural; Networks
49,"Anonymity Services Tor, I2P, JonDonym: Classifying in the Dark (Web)",2018,10.1109/tdsc.2018.2804394,paper/10.1109_tdsc.2018.2804394.pdf,加密流量分类与应用识别,时序、日志、KPI 与云原生异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,12,未发现,,Anonymity; Services; Tor; I2P; JonDonym; Classifying; Dark; Web
50,BFSN: A Novel Method of Encrypted Traffic Classification Based on Bidirectional Flow Sequence Network,2020,10.1109/hoticn50779.2020.9350824,paper/10.1109_hoticn50779.2020.9350824.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,15,未发现,,BFSN; Novel; Method; Encrypted; Traffic; Classification; Based; Bidirectional
51,Blockchain and Federated Learning for Privacy-Preserved Data Sharing in Industrial IoT,2019,10.1109/tii.2019.2942190,paper/10.1109_tii.2019.2942190.pdf,联邦学习、隐私保护与分布式协同,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练,边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失,中相关,6,未发现,,Blockchain; Federated; Learning; Privacy-Preserved; Data; Sharing; Industrial; IoT
52,Deep packet: a novel approach for encrypted traffic classification using deep learning,2020,10.1007/s00500-019-04030-2,paper/10.1007_s00500-019-04030-2.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,强相关,15,未发现,,Deep; Network; Internet; Numerous; Most; Our
53,Detection of DoH Tunnels using Time-series Classification of Encrypted Traffic,2020,10.1109/dasc-picom-cbdcom-cyberscitech49142.2020.00026,paper/10.1109_dasc-picom-cbdcom-cyberscitech49142.2020.00026.pdf,加密流量分类与应用识别,恶意流量、暗网与攻击检测; 其他AI安全与跨域异常检测,在线、增量、开放集与概念漂移,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化,强相关,16,未发现,,Detection; DoH; Tunnels; Time-series; Classification; Encrypted; Traffic; Computer
54,DIDarknet: A Contemporary Approach to Detect and Characterize the Darknet Traffic using Deep Image Learning,2020,10.1145/3442520.3442521,paper/10.1145_3442520.3442521.pdf,恶意流量、暗网与攻击检测,多媒体、医学、遥感与视频异常检测; 加密流量分类与应用识别,轻量化、实时与高性能部署,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,强相关,15,未发现,,DIDarknet; Contemporary; Approach; Detect; Characterize; Darknet; Traffic; Deep
55,Encrypted traffic classification based on Gaussian mixture models and Hidden Markov Models,2020,10.1016/j.jnca.2020.102711,paper/10.1016_j.jnca.2020.102711.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,10,未发现,,Encrypted; Gaussian; Hidden; Markov; Models
56,Encrypted Traffic Classification Using Graph Convolutional Networks,2020,10.1007/978-3-030-65390-3_17,paper/10.1007_978-3-030-65390-3_17.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 图学习、知识图谱与威胁情报,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模; 数据集代表性、标准化评测与可复现,强相关,14,未发现,,Encrypted; Traffic; Classification; Using; Graph; Convolutional; Networks; Internet
57,Fingerprinting encrypted voice traffic on smart speakers with deep learning,2020,10.1145/3395351.3399357,paper/10.1145_3395351.3399357.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,11,未发现,,Fingerprinting; WiSec; July; Linz; Virtual; Event; Austria; ACM
58,FlowPrint: Semi-Supervised Mobile-App Fingerprinting on Encrypted Network Traffic,2020,10.14722/ndss.2020.24412,paper/10.14722_ndss.2020.24412.pdf,加密流量分类与应用识别,,自监督、对比学习与少样本学习; 轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 标签稀缺、类别不平衡与长尾攻击; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,强相关,15,已下载,FlowPrint -> source\FlowPrint,FlowPrint; Semi-Supervised; Mobile-App; Fingerprinting; Encrypted; Network; Traffic; CDNs
59,Image-based Encrypted Traffic Classification with Convolution Neural Networks,2020,10.1109/dsc50466.2020.00048,paper/10.1109_dsc50466.2020.00048.pdf,加密流量分类与应用识别,多媒体、医学、遥感与视频异常检测; 其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,14,未发现,,Image-based; Encrypted; Traffic; Classification; Convolution; Neural; Networks; Network
60,Knowledge graph based methods for record linkage,2020,10.1016/j.patrec.2020.05.025,paper/10.1016_j.patrec.2020.05.025.pdf,图学习、知识图谱与威胁情报,,图神经网络与关系建模; 轻量化、实时与高性能部署,多源异构数据融合与上下文建模; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,弱相关,4,未发现,,Knowledge; knowledge graph
61,Learning to Classify: A Flow-Based Relation Network for Encrypted Traffic Classification,2020,10.1145/3366423.3380090,paper/10.1145_3366423.3380090.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,16,未发现,,Learning; Classify; Flow-Based; Relation; Network; Encrypted; Traffic; Classification
62,On the classification of fog computing applications: A machine learning perspective,2020,10.1016/j.jnca.2020.102596,paper/10.1016_j.jnca.2020.102596.pdf,其他AI安全与跨域异常检测,,应用场景与系统化验证,开放世界未知攻击与误报控制,弱相关,0,未发现,,
63,PacketCGAN: Exploratory Study of Class Imbalance for Encrypted Traffic Classification Using CGAN,2020,10.1109/icc40277.2020.9148946,paper/10.1109_icc40277.2020.9148946.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,生成式增强、GAN与扩散模型,加密与隐私保护造成可观测特征缺失; 标签稀缺、类别不平衡与长尾攻击,强相关,16,未发现,,PacketCGAN; Exploratory; Study; Class; Imbalance; Encrypted; Traffic; Classification
64,Part-dependent Label Noise: Towards Instance-dependent Label Noise,2006,10.48550/arXiv.2006.07836,paper/10.48550_arXiv.2006.07836.pdf,加密流量分类与应用识别,,数据集、基准、工具与系统化评测,标签稀缺、类别不平衡与长尾攻击; 数据集代表性、标准化评测与可复现,中相关,7,未发现,,Part-dependent; Label; Noise; Towards; Instance-dependent; Learning; Note; Annotators
65,PERT: Payload Encoding Representation from Transformer for Encrypted Traffic Classification,2020,10.23919/ituk50268.2020.9303204,paper/10.23919_ituk50268.2020.9303204.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化,强相关,14,未发现,,PERT; Payload; Encoding; Representation; Transformer; Encrypted; Traffic; Classification
66,Practical evaluation of encrypted traffic classification based on a combined method of entropy estimation and neural networks,2019,10.4218/etrij.2019-0190,paper/10.4218_etrij.2019-0190.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,12,未发现,,Practical
67,"Traffic Classification of User Behaviors in Tor, I2P, ZeroNet, Freenet",2020,10.1109/trustcom50675.2020.00064,paper/10.1109_trustcom50675.2020.00064.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,Traffic; Classification; User; Behaviors; Tor; I2P; ZeroNet; Freenet
68,A Look Behind the Curtain: Traffic Classification in an Increasingly Encrypted Web,2021,10.1145/3410220.3453921,paper/10.1145_3410220.3453921.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,强相关,13,未发现,,Look; Behind; Curtain; Traffic; Classification; Increasingly; Encrypted; Web
69,A Survey of Encrypted Malicious Traffic Detection,2021,10.1109/ccci52664.2021.9583191,paper/10.1109_ccci52664.2021.9583191.pdf,数据集、基准、综述与开源工具,恶意流量、暗网与攻击检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,中相关,7,未发现,,Survey; Encrypted; Malicious; Traffic; Detection; HTTPS; Identification; Combined
70,Accurate Decentralized Application Identification via Encrypted Traffic Analysis Using Graph Neural Networks,2021,10.1109/tifs.2021.3050608,paper/10.1109_tifs.2021.3050608.pdf,加密流量分类与应用识别,图学习、知识图谱与威胁情报; 网络流量监测、测量与工具,图神经网络与关系建模,加密与隐私保护造成可观测特征缺失; 多源异构数据融合与上下文建模,强相关,13,未发现,,Accurate; Decentralized; Application; Identification; Encrypted; Traffic; Analysis; Using
71,AEFETA: Encrypted traffic classification framework based on self-learning of feature,2021,10.1109/icsp51882.2021.9408973,paper/10.1109_icsp51882.2021.9408973.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失,强相关,13,未发现,,AEFETA; Encrypted; Statistics-based
72,ByteSGAN: A semi-supervised Generative Adversarial Network for encrypted traffic classification in SDN Edge Gateway,2021,10.1016/j.comnet.2021.108535,paper/10.1016_j.comnet.2021.108535.pdf,加密流量分类与应用识别,IoT、车联网、工业互联网与边缘安全; 其他AI安全与跨域异常检测,生成式增强、GAN与扩散模型; 自监督、对比学习与少样本学习; 鲁棒性、对抗防御与可信检测; 轻量化、实时与高性能部署,加密与隐私保护造成可观测特征缺失; 标签稀缺、类别不平衡与长尾攻击; 对抗规避、污染与鲁棒性; 高速流量实时检测与资源约束,强相关,13,未发现,,ByteSGAN; Generative; Adversarial; Network; SDN; Edge; Gateway; GAN
73,CADE: Detecting and Explaining Concept Drift Samples for Security Applications,2021,,paper/CADE%20-%20Detecting%20and%20Explaining%20Concept%20Drift%20Samples%20for%20Security%20Applications.pdf,其他AI安全与跨域异常检测,,在线、增量、开放集与概念漂移; 可解释性、规则抽取与因果分析,域迁移、概念漂移与真实网络分布变化; 模型可解释、可信与可审计,弱相关,0,已下载,CADE -> source\CADE,CADE; Detecting; Explaining; Concept; Drift; Samples; Security; Applications
74,CBD: A Deep-Learning-Based Scheme for Encrypted Traffic Classification with a General Pre-Training Method,2021,10.3390/s21248231,paper/10.3390_s21248231.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,表征学习、预训练与Transformer,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化,强相关,13,未发现,,CBD; Deep-Learning-Based; Scheme; Encrypted; Traffic; Classification; General; Pre-Training
