num,title,chars,body_chars,section_count,sections,has_method_section,has_experiment_section,has_conclusion_section,dataset_count,metric_count,extract_ok,extract_error
70,Accurate Decentralized Application Identification via Encrypted Traffic Analysis Using Graph Neural Networks,70912,59614,4,"abstract,introduction,method,experiment",True,True,False,0,1,,
71,AEFETA: Encrypted traffic classification framework based on self-learning of feature,22324,20781,5,"abstract,introduction,method,experiment,conclusion",True,True,True,2,6,,
72,ByteSGAN: A semi-supervised Generative Adversarial Network for encrypted traffic classification in SDN Edge Gateway,54538,42762,5,"abstract,introduction,method,background,experiment",True,True,False,5,7,,
73,CADE: Detecting and Explaining Concept Drift Samples for Security Applications,0,0,0,,False,False,False,0,0,,
74,CBD: A Deep-Learning-Based Scheme for Encrypted Traffic Classification with a General Pre-Training Method,56962,51423,7,"abstract,method,introduction,discussion,related_work,experiment,conclusion",True,True,True,5,6,,
75,CENTIME: A Direct Comprehensive Traffic Features Extraction for Encrypted Traffic Classification,43960,36654,6,"abstract,introduction,method,experiment,related_work,conclusion",True,True,True,2,5,,
76,CSCNN: Cost-Sensitive Convolutional Neural Network for Encrypted Traffic Classification,72036,62798,4,"abstract,introduction,method,experiment",True,True,False,4,6,,
77,Deep Learning for Network Traffic Monitoring and Analysis (NTMA): A Survey,173106,140109,7,"abstract,introduction,method,discussion,related_work,experiment,conclusion",True,True,True,3,3,,
78,DISTILLER: Encrypted traffic classification via multimodal multitask deep learning,100662,97142,8,"abstract,introduction,method,related_work,background,experiment,discussion,conclusion",True,True,True,3,2,,
79,Distributed Deep Convolutional Neural Networks for the Internet-of-Things,77265,66442,5,"introduction,method,conclusion,background,experiment",True,True,True,0,4,,
80,Embedding Blockchain Technology Into IoT for Security: A Survey,117024,89521,4,"abstract,method,introduction,conclusion",True,False,True,1,1,,
81,FARE: Enabling Fine-grained Attack Categorization under Low-quality Labeled Data,118396,85685,8,"abstract,introduction,experiment,background,discussion,conclusion,method,related_work",True,True,True,3,3,,
82,Flow Transformer: A Novel Anonymity Network Traffic Classifier with Attention Mechanism,40819,33802,7,"abstract,method,introduction,background,related_work,discussion,experiment",True,True,False,4,4,,
83,Generating Network Intrusion Detection Dataset Based on Real and Encrypted Synthetic Attack Traffic,60298,46563,7,"abstract,introduction,discussion,background,experiment,method,conclusion",True,True,True,9,1,,
84,Generative Adversarial Transformers,60836,42367,7,"abstract,experiment,introduction,related_work,method,background,conclusion",True,True,True,1,3,,
85,MATEC: A lightweight neural network for online encrypted traffic classification,85635,76882,6,"abstract,introduction,method,experiment,discussion,conclusion",True,True,True,3,5,,
86,ME-Box: A reliable method to detect malicious encrypted traffic,76714,67563,8,"abstract,introduction,method,related_work,experiment,background,discussion,conclusion",True,True,True,1,4,,
87,Multi class SVM algorithm with active learning for network traffic classification,45831,40610,7,"method,introduction,experiment,related_work,background,discussion,conclusion",True,True,True,3,5,,
88,Open-CyKG: An Open Cyber Threat Intelligence Knowledge Graph,75520,64156,5,"method,introduction,related_work,experiment,conclusion",True,True,True,3,3,,
89,Privacy-Preserving Tucker Train Decomposition Over Blockchain-Based Encrypted Industrial IoT Data,51532,43416,7,"abstract,introduction,method,experiment,background,related_work,conclusion",True,True,True,1,2,,
90,SPPNet: An Approach For Real-Time Encrypted Traffic Classification Using Deep Learning,33775,29284,6,"abstract,introduction,method,experiment,conclusion,discussion",True,True,True,5,1,,
91,tCLD-Net: A Transfer Learning Internet Encrypted Traffic Classification Scheme Based on Convolution Neural Network and Long Short-Term Memory Network,22940,19317,4,"introduction,method,related_work,experiment",True,True,False,5,5,,
92,TSCRNN: A novel classification scheme of encrypted traffic based on flow spatiotemporal features for efficient management of IIoT,57056,51435,6,"method,experiment,introduction,related_work,discussion,conclusion",True,True,True,4,3,,
93,UTMobileNetTraffic2021: A Labeled Public Network Traffic Dataset,24583,19956,6,"abstract,introduction,related_work,discussion,experiment,method",True,True,False,6,2,,
94,XAI Meets Mobile Traffic Classification: Understanding and Improving Multimodal Deep Learning Architectures,118662,106019,7,"abstract,introduction,method,discussion,background,experiment,conclusion",True,True,True,4,2,,
95,A Review of Deep Learning Techniques for Encrypted Traffic Classification,25755,19258,4,"abstract,introduction,method,conclusion",True,False,True,3,1,,
96,"A Survey on Encrypted Network Traffic Analysis Applications, Techniques, and Countermeasures",146897,108873,5,"introduction,discussion,method,experiment,conclusion",True,True,True,6,7,,
97,An Efficient Approach for Encrypted Traffic Classification using CNN and Bidirectional GRU,28653,26918,6,"abstract,method,introduction,related_work,experiment,conclusion",True,True,True,3,5,,
98,An encrypted traffic classification method based on contrastive learning,21651,18121,6,"abstract,introduction,experiment,method,related_work,conclusion",True,True,True,3,2,,
99,AppClassNet,56482,43939,7,"abstract,introduction,conclusion,background,method,experiment,discussion",True,True,True,4,1,,
100,DarknetSec: A novel self-attentive deep learning method for darknet traffic classification and application identification,81480,77410,6,"experiment,introduction,related_work,discussion,method,conclusion",True,True,True,2,8,,
101,Deep Learning for Encrypted Traffic Classification and Unknown Data Detection,50694,44847,6,"abstract,method,introduction,experiment,discussion,conclusion",True,True,True,2,5,,
102,E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT,49534,43211,7,"abstract,experiment,introduction,method,related_work,background,conclusion",True,True,True,4,7,,
103,Encrypted internet traffic classification using a supervised spiking neural network,50520,43273,5,"abstract,introduction,conclusion,experiment,method",True,True,True,5,3,,
104,Encrypted Malware Traffic Detection via Graph-based Network Analysis,93317,75438,8,"abstract,introduction,method,background,experiment,discussion,conclusion,related_work",True,True,True,0,7,,
105,ET-BERT: A Contextualized Datagram Representation with Pre-training Transformers for Encrypted Traffic Classification,61540,48300,7,"abstract,method,introduction,related_work,experiment,discussion,conclusion",True,True,True,5,2,,
106,EULER: Detecting Network Lateral Movement via Scalable Temporal Link Prediction,87041,24668,5,"abstract,method,introduction,experiment,background",True,True,False,0,2,,
107,Flow Sequence-Based Anonymity Network Traffic Identification with Residual Graph Convolutional Networks,52790,46305,8,"abstract,introduction,method,discussion,related_work,background,experiment,conclusion",True,True,True,4,1,,
108,GRAIN: Granular multi-label encrypted traffic classification using classifier chain,57161,50041,6,"abstract,introduction,method,related_work,experiment,conclusion",True,True,True,5,5,,
109,KRYSTAL: Knowledge graph-based framework for tactical attack discovery in audit data,106769,95717,7,"method,introduction,background,related_work,conclusion,discussion,experiment",True,True,True,1,2,,
110,Machine Learning 5G Attack Detection in Programmable Logic,25229,22411,7,"abstract,introduction,related_work,background,method,experiment,conclusion",True,True,True,1,4,,
111,Markov‐GAN: Markov image enhancement method for malicious encrypted traffic classification,65475,65475,6,"abstract,method,experiment,related_work,introduction,discussion",True,True,False,4,4,,
112,MT-FlowFormer: A Semi-Supervised Flow Transformer for Encrypted Traffic Classification,55739,45253,8,"abstract,method,introduction,related_work,background,experiment,discussion,conclusion",True,True,True,5,1,,
113,Network traffic classification using convolutional neural network and ant-lion optimization,53221,48084,6,"abstract,method,introduction,experiment,discussion,conclusion",True,True,True,4,1,,
114,2023 State of Encrypted Attacks Report,0,0,0,,False,False,False,0,0,,
115,3D-IDS: Doubly Disentangled Dynamic Intrusion Detection,109292,82094,8,"abstract,introduction,method,related_work,background,experiment,discussion,conclusion",True,True,True,1,5,,
116,A federated and explainable approach for insider threat detection in IoT,61988,49483,8,"introduction,experiment,background,method,related_work,abstract,discussion,conclusion",True,True,True,4,0,,
117,A framework for threat intelligence extraction and fusion,69015,52339,6,"method,introduction,related_work,experiment,discussion,conclusion",True,True,True,0,2,,
118,A graph empowered insider threat detection framework based on daily activities,48230,41205,5,"introduction,method,experiment,discussion,conclusion",True,True,True,2,3,,
119,AAE-DSVDD: A one-class classification model for VPN traffic identification,82992,75711,8,"abstract,method,introduction,background,experiment,related_work,discussion,conclusion",True,True,True,1,5,,
120,An intelligent network monitoring approach for online classification of Darknet traffic,50644,42645,6,"abstract,method,introduction,related_work,experiment,conclusion",True,True,True,3,6,,
121,Bi-ETC: A Bidirectional Encrypted Traffic Classification Model Based on BERT and BiLSTM,37987,32432,6,"method,abstract,introduction,experiment,discussion,conclusion",True,True,True,3,5,,
122,CBS: A Deep Learning Approach for Encrypted Traffic Classification With Mixed Spatio-Temporal and Statistical Features,117689,97821,8,"abstract,introduction,method,experiment,conclusion,related_work,background,discussion",True,True,True,2,4,,
123,CESNET-QUIC22: A large one-month QUIC network traffic dataset from backbone lines,26808,24128,2,"background,experiment",False,True,False,4,0,,
124,CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment,81565,60463,6,"abstract,introduction,method,experiment,discussion,conclusion",True,True,True,9,4,,
125,Cybersecurity knowledge graphs,63553,45475,4,"abstract,method,introduction,conclusion",True,False,True,3,0,,
126,Cybersecurity knowledge graphs construction and quality assessment,68142,60442,6,"abstract,introduction,method,experiment,discussion,conclusion",True,True,True,2,5,,
127,Darknet traffic classification and adversarial attacks using machine learning,68770,62218,6,"introduction,method,background,related_work,experiment,conclusion",True,True,True,6,5,,
128,Darknet traffic detection and characterization with models based on decision trees and neural networks,52225,46766,7,"introduction,method,experiment,discussion,related_work,abstract,conclusion",True,True,True,4,3,,
129,Detecting Unknown Encrypted Malicious Traffic in Real Time via Flow Interaction Graph Analysis,113721,85285,8,"abstract,method,experiment,introduction,discussion,background,related_work,conclusion",True,True,True,1,6,,
130,Detection of obfuscated Tor traffic based on bidirectional generative adversarial networks and vision transform,58233,47282,5,"introduction,method,conclusion,discussion,experiment",True,True,True,2,6,,
131,DFMKE: A dual fusion multi-modal knowledge graph embedding framework for entity alignment,57029,44176,5,"abstract,introduction,method,experiment,discussion",True,True,False,0,2,,
132,DI-NIDS: Domain invariant network intrusion detection system,66213,63116,6,"introduction,experiment,method,related_work,background,conclusion",True,True,True,5,2,,
133,EC-GCN: A encrypted traffic classification framework based on multi-scale graph convolution networks,64616,55907,7,"abstract,introduction,method,related_work,experiment,discussion,conclusion",True,True,True,1,7,,
134,EETC: An extended encrypted traffic classification algorithm based on variant resnet network,64640,50868,4,"introduction,method,experiment,conclusion",True,True,True,5,2,,
135,Encrypted TLS Traffic Classification on Cloud Platforms,66647,57437,7,"abstract,introduction,method,related_work,experiment,discussion,conclusion",True,True,True,3,3,,
136,FastTraffic: A lightweight method for encrypted traffic fast classification,83315,68480,6,"abstract,introduction,method,related_work,experiment,discussion",True,True,False,2,6,,
137,Flow-Based Encrypted Network Traffic Classification With Graph Neural Networks,67084,59669,6,"method,introduction,related_work,discussion,experiment,conclusion",True,True,True,6,2,,
138,Graph based encrypted malicious traffic detection with hybrid analysis of multi-view features,59546,52371,7,"discussion,experiment,background,method,related_work,introduction,conclusion",True,True,True,5,7,,
139,GraphCWGAN-GP: A Novel Data Augmenting Approach for Imbalanced Encrypted Traffic Classification,56797,48853,5,"abstract,method,experiment,introduction,conclusion",True,True,True,7,6,,
140,Heterogeneous Domain Adaptation for IoT Intrusion Detection: A Geometric Graph Alignment Approach,67562,55291,7,"abstract,introduction,method,experiment,related_work,discussion,conclusion",True,True,True,4,9,,
141,"Improving Performance, Reliability, and Feasibility in Multimodal Multitask Traffic Classification with XAI",129666,115235,7,"abstract,introduction,method,experiment,background,discussion,conclusion",True,True,True,5,2,,
142,Including insider threats into risk management through Bayesian threat graph networks,124427,104269,5,"method,introduction,background,discussion,conclusion",True,False,True,1,0,,
143,IP packet-level encrypted traffic classification using machine learning with a light weight feature engineering method,39835,38966,6,"abstract,introduction,method,experiment,discussion,conclusion",True,True,True,3,7,,
144,Machine Learning-Powered Encrypted Network Traffic Analysis: A Comprehensive Survey,199875,155680,7,"abstract,discussion,introduction,method,background,experiment,conclusion",True,True,True,1,2,,
145,MMIEA: Multi-modal Interaction Entity Alignment model for knowledge graphs,64676,46122,8,"abstract,method,introduction,discussion,related_work,background,experiment,conclusion",True,True,True,0,1,,
146,MTC: A Multi-Task Model for Encrypted Network Traffic Classification Based on Transformer and 1D-CNN,54147,46242,5,"method,introduction,experiment,discussion,conclusion",True,True,True,5,5,,
147,Point Cloud Analysis for ML-Based Malicious Traffic Detection: Reducing Majorities of False Positive Alarms,99574,90074,8,"abstract,experiment,method,discussion,introduction,background,related_work,conclusion",True,True,True,2,13,,
148,Privacy-Preserving Asynchronous Federated Learning Framework in Distributed IoT,55276,43814,8,"abstract,discussion,introduction,method,experiment,related_work,background,conclusion",True,True,True,1,2,,
149,Robust Anomaly-Based Insider Threat Detection Using Graph Neural Network,81906,73628,8,"abstract,introduction,method,experiment,related_work,background,discussion,conclusion",True,True,True,4,8,,
150,Rosetta: Enabling Robust TLS Encrypted Traffic Classification in Diverse Network Environments with TCP-Aware Traffic Augmentation,90169,68088,8,"abstract,introduction,method,experiment,related_work,background,discussion,conclusion",True,True,True,2,3,,
151,Task Allocation Under Geo-Indistinguishability via Group-Based Noise Addition,87213,74966,7,"introduction,related_work,experiment,method,background,discussion,conclusion",True,True,True,0,2,,
152,TFE-GNN: A Temporal Fusion Encoder Using Graph Neural Networks for Fine-grained Encrypted Traffic Classification,59809,49988,8,"abstract,method,introduction,background,experiment,discussion,conclusion,related_work",True,True,True,5,5,,
153,TGPrint: Attack fingerprint classification on encrypted network traffic based graph convolution attention networks,62830,58904,6,"introduction,method,experiment,background,discussion,conclusion",True,True,True,0,4,,
154,Yet Another Traffic Classifier: A Masked Autoencoder Based Traffic Transformer with Multi-Level Flow Representation,41284,35730,7,"abstract,discussion,introduction,related_work,method,experiment,conclusion",True,True,True,5,5,,
155,6G-Enabled Consumer Electronics Device Intrusion Detection With Federated Meta-Learning and Digital Twins in a Meta-Verse Environment,53402,43986,7,"abstract,method,introduction,conclusion,background,discussion,experiment",True,True,True,5,3,,
156,A Discrepancy Aware Framework for Robust Anomaly Detection,47600,37412,7,"abstract,introduction,method,background,experiment,discussion,conclusion",True,True,True,0,3,,
157,A Few-Shot Class-Incremental Learning Method for Network Intrusion Detection,72569,59274,8,"abstract,method,introduction,experiment,related_work,background,discussion,conclusion",True,True,True,2,2,,
158,A Lightweight Pipeline Edge Detection Model Based on Heterogeneous Knowledge Distillation,28092,22790,5,"abstract,method,introduction,experiment,conclusion",True,True,True,2,2,,
159,A Multihead Attention Self-Supervised Representation Model for Industrial Sensors Anomaly Detection,55376,42001,6,"abstract,method,introduction,related_work,experiment,discussion",True,True,False,1,7,,
160,A Preference-Driven Malicious Platform Detection Mechanism for Users in Mobile Crowdsensing,54420,43885,7,"abstract,discussion,method,related_work,introduction,experiment,conclusion",True,True,True,0,5,,
161,A Privacy-Preserving Framework for Efficient Network Intrusion Detection in Consumer Network Using Quantum Federated Learning,35815,30706,6,"abstract,experiment,introduction,method,background,conclusion",True,True,True,6,11,,
162,A Survey of Graph-Based Deep Learning for Anomaly Detection in Distributed Systems,108098,74339,5,"introduction,method,experiment,abstract,conclusion",True,True,True,2,4,,
163,"A Survey on Graph Neural Networks for Time Series: Forecasting, Classification, Imputation, and Anomaly Detection",118382,73827,6,"abstract,introduction,experiment,method,discussion,conclusion",True,True,True,3,0,,
164,A Survey on Time-Series Pre-Trained Models,120720,82138,7,"abstract,introduction,method,experiment,background,discussion,conclusion",True,True,True,0,5,,
165,A Temporal Convolutional Network-Based Approach for Network Intrusion Detection,32535,27455,5,"method,abstract,introduction,experiment,conclusion",True,True,True,5,6,,
166,Abnormal Logical Representation Learning for Intrusion Detection in Industrial Control Systems,58910,52011,6,"abstract,introduction,method,experiment,related_work,conclusion",True,True,True,2,6,,
167,Adaptive Context-Aware Distillation for Industrial Image Anomaly Detection,73875,60696,6,"abstract,method,introduction,experiment,discussion,conclusion",True,True,True,3,5,,
168,Adaptive Working Condition Recognition With Clustering-Based Contrastive Learning for Unsupervised Anomaly Detection,52229,43866,7,"abstract,introduction,method,experiment,background,discussion,conclusion",True,True,True,3,5,,
169,Advancing Security and Trust in WSNs: A Federated Multi-Agent Deep Reinforcement Learning Approach,49623,42115,7,"abstract,method,introduction,discussion,related_work,conclusion,experiment",True,True,True,1,2,,
170,Adversarial Graph Neural Network for Multivariate Time Series Anomaly Detection,76699,64137,7,"abstract,introduction,method,experiment,background,related_work,conclusion",True,True,True,5,3,,
171,An Adaptability-Enhanced Few-Shot Website Fingerprinting Attack Based on Collusion,81151,69763,6,"abstract,introduction,method,background,experiment,discussion",True,True,False,2,2,,
172,An Anomaly-Free Representation Learning Approach for Efficient Railway Foreign Object Detection,54724,45987,7,"method,abstract,introduction,related_work,experiment,discussion,conclusion",True,True,True,3,3,,
173,An Autoencoder-Based Hybrid Detection Model for Intrusion Detection With Small-Sample Problem,51852,41259,6,"abstract,introduction,method,related_work,experiment,conclusion",True,True,True,5,10,,
174,An encrypted traffic identification method based on multi-scale feature fusion,48008,47039,5,"introduction,discussion,method,experiment,conclusion",True,True,True,5,4,,
175,Anomaly Detection for In-Vehicle Network Using Self-Supervised Learning With Vehicle-Cloud Collaboration Update,69423,54339,7,"abstract,introduction,method,experiment,related_work,background,conclusion",True,True,True,3,12,,
176,ARISE: Graph Anomaly Detection on Attributed Networks via Substructure Awareness,67080,51192,7,"abstract,background,introduction,method,experiment,related_work,discussion",True,True,False,0,2,,
177,Artificial Intelligence-Based Zero Trust Security Approach for Consumer Industry,42914,35887,6,"method,abstract,introduction,discussion,experiment,conclusion",True,True,True,3,2,,
178,Asymptotic Consistent Graph Structure Learning for Multivariate Time-Series Anomaly Detection,47841,39551,8,"abstract,introduction,method,experiment,related_work,background,discussion,conclusion",True,True,True,4,6,,
179,ATVITSC: A Novel Encrypted Traffic Classification Method Based on Deep Learning,72398,60901,6,"abstract,experiment,method,introduction,related_work,discussion",True,True,False,2,6,,
180,Auto-Updating Intrusion Detection System for Vehicular Network: A Deep Learning Approach Based on Cloud-Edge-Vehicle Collaboration,63096,48716,6,"experiment,introduction,method,related_work,background,conclusion",True,True,True,1,6,,
181,Automatic Evasion of Machine Learning-Based Network Intrusion Detection Systems,77381,64107,7,"abstract,introduction,method,experiment,discussion,related_work,conclusion",True,True,True,0,0,,
