num,title,category,relevance,repo,url,status,target,languages,datasets,readme,train_files,model_files,data_files
84,Generative Adversarial Transformers,其他AI安全与跨域异常检测,弱相关,gansformer,https://github.com/dorarad/gansformer,downloaded,source\gansformer,"Python:72, CUDA:5, C++:2, C/C++ Header:2",Quic、TOR、ToR、Tor、dapt、nsl、ton、tor,README.md、readme.md、Readme.md,pytorch_version/torch_utils/training_stats.py；pytorch_version/training/training_loop.py；training/training_loop.py,dnnlib/tflib/network.py；pytorch_version/training/networks.py；training/network.py；training/networks.py,dataset_tool.py；prepare_data.py；pytorch_version/dataset_tool.py；pytorch_version/loader.py；pytorch_version/prepare_data.py；pytorch_version/training/dataset.py
88,Open-CyKG: An Open Cyber Threat Intelligence Knowledge Graph,图学习、知识图谱与威胁情报,弱相关,IS5882/Open-CyKG,https://github.com/IS5882/Open-CyKG,downloaded,source\Open-CyKG,Jupyter:3,dapt、tor,README.md、readme.md、Readme.md,,,
102,E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT,入侵检测与网络异常检测,强相关,George730/E-ResGAT,https://github.com/George730/E-ResGAT,downloaded,source\E-ResGAT,"Python:5, Jupyter:1",ToN、UNSW、ton、tor,README.md、readme.md、Readme.md,fit_model.py,,loader.py
102,E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT,入侵检测与网络异常检测,强相关,waimorris/E-GraphSAGE,https://github.com/waimorris/E-GraphSAGE,downloaded,source\E-GraphSAGE,Jupyter:10,BoT-IoT、ToN、Tor、ton、tor,README.md、readme.md、Readme.md,,,
105,ET-BERT: A Contextualized Datagram Representation with Pre-training Transformers for Encrypted Traffic Classification,加密流量分类与应用识别,强相关,ET-BERT,https://github.com/linwhitehat/ET-BERT,downloaded,source\ET-BERT,"Python:57, JSON:12",Tor、dapt、nsl、tor,README.md、readme.md、Readme.md,uer/trainer.py,uer/model_builder.py；uer/model_loader.py；uer/model_saver.py；uer/models/model.py,preprocess.py；data_process/dataset_cleanning.py；data_process/dataset_generation.py
106,EULER: Detecting Network Lateral Movement via Scalable Temporal Link Prediction,时序、日志、KPI 与云原生异常检测,中相关,Euler,https://github.com/iHeartGraph/Euler,downloaded,source\Euler,"Python:40, Shell:2",Tor、cert、quic、ton、tor,README.md、readme.md、Readme.md,,,
109,KRYSTAL: Knowledge graph-based framework for tactical attack discovery in audit data,图学习、知识图谱与威胁情报,中相关,Krystal,https://github.com/sepses/Krystal,downloaded,source\Krystal,"JSON:4, YAML:1",TOR、tor,README.md、readme.md、Readme.md,,,
120,An intelligent network monitoring approach for online classification of Darknet traffic,其他AI安全与跨域异常检测,强相关,adaptive-monitoring,https://github.com/romoreira/adaptive-monitoring,downloaded,source\adaptive-monitoring,"Python:12, JSON:3, Shell:1",ISCX、Tor、cert、dapt、tor、unsw,README.md、readme.md、Readme.md,,,
122,CBS: A Deep Learning Approach for Encrypted Traffic Classification With Mixed Spatio-Temporal and Statistical Features,加密流量分类与应用识别,强相关,CBS,https://github.com/mehdiseydali/CBS,downloaded,source\CBS,Python:40,Cert、ISCX、Tor、VPN、ton、tor、vpn,README.md、readme.md、Readme.md,,network_parameters_initializer.py,extract_header_payload_packets.py；preprocessing-traffic-label.py；process_metadata_pcap.py；process_pcap.py
124,CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment,数据集、基准、综述与开源工具,中相关,Jaquelinedops/CICIoT2023,https://github.com/Jaquelinedops/CICIoT2023,downloaded,source\CICIoT2023,Jupyter:5,CICIoT、ciciot、tor,README.md、readme.md、Readme.md,,,
124,CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment,数据集、基准、综述与开源工具,中相关,plumpmonkey/CICIoT2023,https://github.com/plumpmonkey/CICIoT2023,downloaded,source\plumpmonkey_CICIoT2023,"Jupyter:5, Python:2",CICIoT、TOR、tor,README.md、readme.md、Readme.md,,,
129,Detecting Unknown Encrypted Malicious Traffic in Real Time via Flow Interaction Graph Analysis,恶意流量、暗网与攻击检测,强相关,HyperVision,https://github.com/fuchuanpu/HyperVision,downloaded,source\HyperVision,"JSON:81, C++ Header:13, C++:13, Shell:9, Python:3",ton、tor,README.md、readme.md、Readme.md,,,
136,FastTraffic: A lightweight method for encrypted traffic fast classification,加密流量分类与应用识别,强相关,JieCaoSec/FastTraffic,https://github.com/JieCaoSec/FastTraffic,downloaded,source\FastTraffic,Python:6,ISCX、Tor、USTC、VPN、tor、ustc、vpn,README.md、readme.md、Readme.md,train_eval.py,,preprocess/preprocess_vpn.py
150,Rosetta: Enabling Robust TLS Encrypted Traffic Classification in Diverse Network Environments with TCP-Aware Traffic Augmentation,加密流量分类与应用识别,强相关,Rosetta,https://github.com/sunskyXX/Rosetta,downloaded,source\Rosetta,"Python:31, Jupyter:7, YAML:4",Kdd、Tor、nsl、tor,README.md、readme.md、Readme.md,TIE/code/trainer.py；Transformer-master/train.ipynb；Transformer-master/train.py,Transformer-master/Layers.py；Transformer-master/Models.py,test-data/test-app/util/loader.py；test-data/test-app/util/loader_1.py；Transformer-master/Process.py
152,TFE-GNN: A Temporal Fusion Encoder Using Graph Neural Networks for Fine-grained Encrypted Traffic Classification,加密流量分类与应用识别,强相关,ViktorAxelsen/TFE-GNN,https://github.com/ViktorAxelsen/TFE-GNN,downloaded,source\TFE-GNN,Python:10,ISCX、TOR、Tor、VPN、iscx、tor、vpn,README.md、readme.md、Readme.md,train.py,model.py,dataloader.py；preprocess.py
154,Yet Another Traffic Classifier: A Masked Autoencoder Based Traffic Transformer with Multi-Level Flow Representation,其他AI安全与跨域异常检测,中相关,YaTC,https://github.com/NSSL-SJTU/YaTC,downloaded,source\YaTC,Python:11,CICIoT、ISCX、Tor、USTC、VPN、ton、tor,README.md、readme.md、Readme.md,,models_YaTC.py,
156,A Discrepancy Aware Framework for Robust Anomaly Detection,入侵检测与网络异常检测,中相关,DAF,https://github.com/caiyuxuan1120/DAF,downloaded,source\DAF,"Python:20, Shell:1, JSON:1",MVTec、Smap、Tor、cert、dapt、mvtec、tor,README.md、readme.md、Readme.md,train.py；trainer/trainer.py,,
176,ARISE: Graph Anomaly Detection on Attributed Networks via Substructure Awareness,入侵检测与网络异常检测,强相关,FelixDJC/ARISE,https://github.com/FelixDJC/ARISE,downloaded,source\FelixDJC_ARISE,Python:3,Quic、Tor、tor,README.md、readme.md、Readme.md,,model.py,
182,AutoML4ETC: Automated Neural Architecture Search for Real-World Encrypted Traffic Classification,加密流量分类与应用识别,强相关,AutoML4ETC,https://github.com/OrangeUW/AutoML4ETC,downloaded,source\AutoML4ETC,"Python:206, Shell:2, Jupyter:2, YAML:1",QUIC、TOR、Tor、cert、dapt、msl、nsl、quic,README.md、readme.md、Readme.md,,hyperkeras/layers.py；hyperkeras/layers_1DCNN_OPS.py；hyperkeras/layers_1DCNN_OPS_withLSTM.py；hyperkeras/tests/layers_test.py,hypernets/dispatchers/process/grpc/process_broker_client.py；hypernets/dispatchers/process/grpc/process_broker_service.py；hypernets/tabular/feature_importance.py；hypernets/tabular/feature_selection.py；hypernets/tests/dispatchers/process_test.py；hypernets/tests/tabular/feature_generator_dask_test.py
196,Contrasting Estimation of Pattern Prototypes for Anomaly Detection in Urban Crowd Flow,入侵检测与网络异常检测,强相关,ProtoDetect,https://github.com/yupwang/ProtoDetect,downloaded,source\ProtoDetect,"Python:7, YAML:1",toN、tor,README.md、readme.md、Readme.md,,,Extractor.py；models/dataloader.py
200,Counterfactual Data Augmentation With Denoising Diffusion for Graph Anomaly Detection,图学习、知识图谱与威胁情报,中相关,CAGAD,https://github.com/ChunjingXiao/CAGAD,downloaded,source\CAGAD,"Python:22, JSON:2",SMAP、SMD、smap、smd、swat、tor,README.md、readme.md、Readme.md,,ddpm/model/model.py；ddpm/model/networks.py,dataset.py；ddpm/feature_test.py；ddpm/feature_train.py
206,Detecting Cloud Anomaly via Broad Network-Based Contrastive Autoencoder,其他AI安全与跨域异常检测,弱相关,BroadCAE,https://github.com/zhongguoxiang/BroadCAE,failed,source\BroadCAE,,,,,,
211,ECNet: Robust Malicious Network Traffic Detection With Multi-View Feature and Confidence Mechanism,恶意流量、暗网与攻击检测,强相关,Shining20183/ECNet,https://github.com/Shining20183/ECNet,downloaded,source\ECNet,Python:6,cicids、tor,README.md、readme.md、Readme.md,,,
213,Encoder-Decoder Contrast for Unsupervised Anomaly Detection in Medical Images,多媒体、医学、遥感与视频异常检测,弱相关,EDC,https://github.com/guojiajeremy/EDC,downloaded,source\EDC,Python:18,MVTec、Tor、ton、tor,README.md、readme.md、Readme.md,train_utils.py,,prepare_dataset/prepare_aptos.py；prepare_dataset/prepare_br35h.py；prepare_dataset/prepare_isic2018.py
236,Graph Autoencoder Anomaly Detection for E-Commerce Application by Contextual Integrating Contrast With Reconstruction and Complementarity,其他AI安全与跨域异常检测,弱相关,GAAD,https://github.com/jinjiewu2000/GAAD,downloaded,source\GAAD,Python:4,cert、tor,README.md、readme.md、Readme.md,,model.py,
252,LLM-TIKG: Threat intelligence knowledge graph construction utilizing large language model,图学习、知识图谱与威胁情报,弱相关,LLM-TIKGdataset,https://github.com/Netsec-SJTU/LLM-TIKGdataset,failed,source\LLM-TIKGdataset,,,,,,
256,Marina : Realizing ML-Driven Real-Time Network Traffic Monitoring at Terabit Scale,网络流量监测、测量与工具,强相关,Marina,https://github.com/lsinfo3/Marina,downloaded,source\Marina,"C:36, C/C++ Header:31, Python:4, Shell:1",TON、ton、tor,README.md、readme.md、Readme.md,,,scripts/extract_context.py
263,MSNet: Self-Supervised Multiscale Network With Enhanced Separation Training for Hyperspectral Anomaly Detection,多媒体、医学、遥感与视频异常检测,弱相关,MSNet,https://github.com/enter-i-username/MSNet,downloaded,source\MSNet,Python:12,dapt、tor,README.md、readme.md、Readme.md,SeT/train.py,,
265,Multi-Task Scenario Encrypted Traffic Classification and Parameter Analysis,加密流量分类与应用识别,强相关,PETReLM,https://github.com/ssy198/PETReLM,downloaded,source\PETReLM,"JSON:4, Python:3",Tor、VPN、tor,README.md、readme.md、Readme.md,,,
267,Multimodal Brain Tumor Segmentation Boosted by Monomodal Normal Brain Images,多媒体、医学、遥感与视频异常检测,弱相关,Normal-BrainBoost-Tumor-Segmentation,https://github.com/hb-liu/Normal-BrainBoost-Tumor-Segmentation,failed,source\Normal-BrainBoost-Tumor-Segmentation,,,,,,
273,One Model to Find Them All Deep Learning for Multivariate Time-Series Anomaly Detection in Mobile Network Data,其他AI安全与跨域异常检测,中相关,DC-VAE,https://github.com/GastonGarciaGonzalez/DC-VAE,downloaded,source\DC-VAE,Python:7,dapt、ton、tor,README.md、readme.md、Readme.md,train.py,,
274,One Train for Two Tasks: An Encrypted Traffic Classification Framework Using Supervised Contrastive Learning,加密流量分类与应用识别,强相关,CLE-TFE,https://github.com/ViktorAxelsen/CLE-TFE,downloaded,source\CLE-TFE,Python:10,ISCX、TOR、Tor、VPN、iscx、tor、vpn,README.md、readme.md、Readme.md,train_new.py,model_new_aug.py,dataloader.py；preprocess.py
287,ReFLIP-VAD: Towards Weakly Supervised Video Anomaly Detection via Vision-Language Model,多媒体、医学、遥感与视频异常检测,弱相关,ReFLIP-VAD,https://github.com/prasaddev97/ReFLIP-VAD,downloaded,source\ReFLIP-VAD,Python:24,Quic、Tor、dapt、ton、tor,README.md、readme.md、Readme.md,,model.py；ReFLIP/model.py；utils/layers.py,utils/dataset.py
292,RFG-HELAD: A Robust Fine-Grained Network Traffic Anomaly Detection Model Based on Heterogeneous Ensemble Learning,入侵检测与网络异常检测,强相关,RFG-HELAD,https://github.com/RFG-HELAD/RFG-HELAD,downloaded,source\RFG-HELAD,"Jupyter:13, Python:3, YAML:1",cert、dapt、nsl、tor,README.md、readme.md、Readme.md,,,
293,RustGraph: Robust Anomaly Detection in Dynamic Graphs by Jointly Learning Structural-Temporal Dependency,入侵检测与网络异常检测,强相关,RustGraph,https://github.com/aubreygjh/RustGraph,downloaded,source\RustGraph,"Shell:7, Python:6, YAML:1",Tor、cert、tor,README.md、readme.md、Readme.md,,model.py,dataset.py
302,Sharing cyber threat intelligence: Does it really help?,图学习、知识图谱与威胁情报,弱相关,CTI,https://github.com/SKKU-SecLab/CTI,failed,source\CTI,,,,,,
303,SLA2P: Self-Supervised Anomaly Detection With Adversarial Perturbation,其他AI安全与跨域异常检测,弱相关,SLA2P,https://github.com/wyzjack/SLA2P,downloaded,source\SLA2P,"Python:17, YAML:1",KDD、Tor、cert、kdd、nsl、tor,README.md、readme.md、Readme.md,,,extract_BERT_embedding_20news.py；extract_BERT_embedding_arrhythmia.py；extract_GPT3_embedding_20news.py；extract_GPT3_embedding_arrhythmia.py
314,Toward Video Anomaly Retrieval From Video Anomaly Detection: New Benchmarks and Model,多媒体、医学、遥感与视频异常检测,弱相关,VAR,https://github.com/Roc-Ng/VAR,downloaded,source\VAR,,,README.md、readme.md、Readme.md,,,
319,UAC-AD: Unsupervised Adversarial Contrastive Learning for Anomaly Detection on Multi-Modal Data in Microservice Systems,时序、日志、KPI 与云原生异常检测,中相关,lhysgithub/UAC-AD,https://github.com/lhysgithub/UAC-AD,downloaded,source\UAC-AD,"Python:13, Shell:2",tor,README.md、readme.md、Readme.md,,,
332,A Cloud Collaborative-Based Intrusion Detection and Prevention System for IVN,入侵检测与网络异常检测,强相关,IVAD,https://github.com/yuecao871441562/IVAD,downloaded,source\IVAD,,,README.md、readme.md、Readme.md,,,
333,A Comprehensive Benchmark and Empirical Study of Trace Anomaly Detection,数据集、基准、综述与开源工具,中相关,TADBench,https://github.com/nkalgo/TADBench,partial,source\TADBench,"Python:390, Shell:4, YAML:1, JSON:1",KDD、TOR、ToN、Tor、cert、dapt、kdd、nsl,README.md、readme.md、Readme.md,CRISP/train.py；GTrace/tracegnn/models/gtrace/trainer.py；Multimodel-LSTM/tracegnn/models/lstm/train.py；PUTraceAD/train.py；TraceAnomaly/train.py；TraceAnomaly/tfsnippet/scaffold/train_loop_.py,Multimodel-LSTM/tracegnn/models/lstm/model.py；PUTraceAD/models.py；TraceAnomaly/tfsnippet/utils/model_vars.py；TraceCRL/model.py,GTrace/tracegnn/models/gtrace/dataset.py；PUTraceAD/process_data.py；TraceCRL/process_data.py；TraceVAE/tracegnn/models/trace_vae/dataset.py
334,A Data-Driven Approach to Mitigate Evolving Volumetric Attacks in Programmable Networks,入侵检测与网络异常检测,强相关,AdapNet-IDS,https://github.com/em-saqib/AdapNet-IDS,downloaded,source\AdapNet-IDS,,dapt,README.md、readme.md、Readme.md,,,
351,A Unified Framework for Hybrid Network Intrusion Detection,入侵检测与网络异常检测,强相关,A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection,https://github.com/wangyann2000/A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection,failed,source\A-UnifiedFramework-for-Hybrid-Network-Intrusion-Detection,,,,,,
363,An Unsupervised Malicious Web Request Detection Based on Transformer and Contrastive Learning,其他AI安全与跨域异常检测,中相关,School-2023-sample,https://github.com/AIOps-tech/School-2023-sample,downloaded,source\School-2023-sample,,,README.md、readme.md、Readme.md,,,
387,Contrastive Multi-Knowledge Graph Learning for Fake News Detection,图学习、知识图谱与威胁情报,弱相关,Congrat,https://github.com/KG4FD/Congrat,downloaded,source\Congrat,Python:3,cert、tor,README.md、readme.md、Readme.md,,src/model.py,
391,D 3 Former: Dual-Decoder Dual-Transformer Reconstruction Network for Hyperspectral Anomaly Detection,多媒体、医学、遥感与视频异常检测,弱相关,TGRS-D3Former,https://github.com/YKYANG01/TGRS-D3Former,downloaded,source\TGRS-D3Former,,,README.md、readme.md、Readme.md,,,
392,DACAD: Domain Adaptation Contrastive Learning for Anomaly Detection in Multivariate Time Series,其他AI安全与跨域异常检测,弱相关,DACAD,https://github.com/zamanzadeh/DACAD,downloaded,source\DACAD,"Python:13, Jupyter:1",MSL、SMAP、SMD、Tor、cert、dapt、msl、smap,README.md、readme.md、Readme.md,main/train.py,,utils/dataset.py
396,DeepDRAC: Disposition Recommendation for Alert Clusters Based on Security Event Patterns,图学习、知识图谱与威胁情报,强相关,DEEPDRACAppendix,https://github.com/Gaofei-Ruan/DEEPDRACAppendix,failed,source\DEEPDRACAppendix,,,,,,
398,Detecting Smart Home Device Activities Using Packet-Level Signatures From Encrypted Traffic,加密流量分类与应用识别,强相关,Packet-based-IoT-Event-Detection,https://github.com/MdShamim097/Packet-based-IoT-Event-Detection,downloaded,source\Packet-based-IoT-Event-Detection,"Shell:19, Batch:2, Python:2, Java:1, JavaScript:1",QUIC、UNSW、VPN、cert、quic、tor、vpn,,,,
400,Detection of Unknown Attacks Through Encrypted Traffic: A Gaussian Prototype-Aided Variational Autoencoder Framework,入侵检测与网络异常检测,强相关,Open-Detect,https://github.com/niebikong/Open-Detect,downloaded,source\Open-Detect,Python:6,Quic、Tor、USTC、dapt、quic、ton、tor,README.md、readme.md、Readme.md,train.py,model.py,
407,Dual Temporal Masked Modeling for KPI Anomaly Detection via Similarity Aggregation,时序、日志、KPI 与云原生异常检测,中相关,GT-DMASA,https://github.com/colaudiolab/GT-DMASA,downloaded,source\GT-DMASA,Python:40,MSL、SMAP、SMD、SWAT、TOR、WADI、msl、smap,,,model/layers.py,dataset.py；preprocessData.py；process.py；metrics/vus/models/feature.py
416,End-to-End Attack Scene Reconstruction in a Host With Rules and Anomaly-Based Detection Models,恶意流量、暗网与攻击检测,强相关,eaGle,https://github.com/winsen-alpha/eaGle,downloaded,source\eaGle,Python:8,tor,README.md、readme.md、Readme.md,,,
420,Ensuring Zero Trust IoT Data Privacy: Differential Privacy in Blockchain Using Federated Learning,联邦学习、隐私保护与分布式协同,弱相关,DP_Blockchain,https://github.com/tariqaup/DP_Blockchain,downloaded,source\DP_Blockchain,,,,,,
421,ERFS: Efficient Feature Graph Representation for Intrusion Detection Based on Flow Semantic Association,入侵检测与网络异常检测,强相关,ERFS,https://github.com/sixteen23333/ERFS,downloaded,source\ERFS,Python:2,tor,,train.py,,
427,FC2P: Feature Cross-Channel Projection for Unsupervised Anomaly Segmentation,多媒体、医学、遥感与视频异常检测,弱相关,work-2,https://github.com/Karma1628/work-2,downloaded,source\work-2,Python:15,MVTec、Tor、dapt、mvtec、tor,README.md、readme.md、Readme.md,,fc2p/models/model_utils.py,fc2p/models/extraction_builder.py
430,FeCoGraph: Label-Aware Federated Graph Contrastive Learning for Few-Shot Network Intrusion Detection,入侵检测与网络异常检测,强相关,MaoPopovich/FeCoGraph,https://github.com/MaoPopovich/FeCoGraph,downloaded,source\FeCoGraph,"Python:20, Shell:1, JSON:1",TOR、cicids、dapt、ton、tor,README.md、readme.md、Readme.md,,,
441,Few-Shot Anomaly Detection via Category-Agnostic Registration Learning,其他AI安全与跨域异常检测,弱相关,CAReg,https://github.com/Haoyan-Guan/CAReg,downloaded,source\CAReg,Python:12,MVTec、MVtec、mvtec、nsl、tor,README.md、readme.md、Readme.md,train.py,,
444,FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network,入侵检测与网络异常检测,强相关,Hafizh28/FIR-GNN,https://github.com/Hafizh28/FIR-GNN,downloaded,source\FIR-GNN,"Python:8, YAML:1",BoT-IoT、CICIDS、ISCX、VPN、tor、vpn,README.md、readme.md、Readme.md,train.py,,utils/extract_pktlen.py
444,FIR-GNN: A Graph Neural Network Using Flow Interaction Relationships for Intrusion Detection of Consumer Electronics in Smart Home Network,入侵检测与网络异常检测,强相关,MengyiFu/FIR-GNN,https://github.com/MengyiFu/FIR-GNN,downloaded,source\MengyiFu_FIR-GNN,"Python:8, YAML:1",BoT-IoT、CICIDS、ISCX、VPN、tor、vpn,README.md、readme.md、Readme.md,train.py,,utils/extract_pktlen.py
445,Flow Microelement-Driven Traffic Relationship Analysis: Robust Detection of Malicious Encrypted Traffic,加密流量分类与应用识别,强相关,BSTS-Net,https://github.com/gswsfh/BSTS-Net,downloaded,source\BSTS-Net,Python:13,CICIDS、cert、ton、tor,README.md、readme.md、Readme.md,,Model/ModelProcess.py；Model/Network.py,ExtractFingerprints.py；ExtractFingerprints_extend.py；Model/Dataset.py
447,Frequency-Domain Spectrum Discrepancy-Based Fast Anomaly Detection for IIoT Sensor Time-Series Signals,IoT、车联网、工业互联网与边缘安全,中相关,FADSD,https://github.com/infogroup502/FADSD,downloaded,source\FADSD,Python:28,MSL、SMD、SWAT、SwaT、Tor、msl、smap、smd,README.md、readme.md、Readme.md,,,metrics/vus/models/feature.py
456,GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection,多媒体、医学、遥感与视频异常检测,弱相关,NanWangAC/GT-HAD,https://github.com/NanWangAC/GT-HAD,downloaded,source\GT-HAD,"MATLAB:82, Python:38, C++:1, C:1, C/C++ Header:1",cert、smap、ton、tor,README.md、readme.md、Readme.md,,dnnmethods/GT-HAD/net.py,
456,GT-HAD: Gated Transformer for Hyperspectral Anomaly Detection,多媒体、医学、遥感与视频异常检测,弱相关,jeline0110/GT-HAD,https://github.com/jeline0110/GT-HAD,downloaded,source\jeline0110_GT-HAD,"MATLAB:315, Python:38, C:9, C++:1, C/C++ Header:1",Quic、TOR、cert、dapt、quic、smap、ton、tor,README.md、readme.md、Readme.md,,dnnmethods/GT-HAD/net.py,
461,Hawkeye: Diagnosing RDMA Network Performance Anomalies with PFC Provenance,图学习、知识图谱与威胁情报,中相关,wangshicheng1225/Hawkeye,https://github.com/wangshicheng1225/Hawkeye,downloaded,source\Hawkeye,"C++:900, C/C++ Header:752, Python:190, Shell:10, C:8",CAIDA、CERT、DAPT、QUIC、TON、TOR、ToN、ToR,README.md、readme.md、Readme.md,,simulation/src/antenna/bindings/modulegen__gcc_ILP32.py；simulation/src/antenna/bindings/modulegen__gcc_LP64.py；simulation/src/aodv/bindings/modulegen__gcc_ILP32.py；simulation/src/aodv/bindings/modulegen__gcc_LP64.py；simulation/src/applications/bindings/modulegen_customizations.py；simulation/src/applications/bindings/modulegen__gcc_ILP32.py,
465,IAD-GPT: Advancing Visual Knowledge in Multimodal Large Language Model for Industrial Anomaly Detection,多媒体、医学、遥感与视频异常检测,弱相关,IADGPT,https://github.com/LiZeWen1225/IADGPT,failed,source\IADGPT,,,,,,
477,Lightweight and Fast Time-Series Anomaly Detection via Point-Level and Sequence-Level Reconstruction Discrepancy,其他AI安全与跨域异常检测,弱相关,LFTSAD,https://github.com/infogroup502/LFTSAD,downloaded,source\LFTSAD,"Python:30, Shell:9",MSL、SMAP、SMD、SWAT、SwaT、Tor、WaDi、msl,README.md、readme.md、Readme.md,,,metrics/vus/models/feature.py
480,LScAD: A Large–Small Model Collaboration Framework for Unsupervised Industrial Anomaly Detection,入侵检测与网络异常检测,中相关,LScAD,https://github.com/qsc1103/LScAD,downloaded,source\LScAD,Python:64,MVTEC、MVTec、MVtec、TON、dapt、mvtec、tor,README.md、readme.md、Readme.md,train.py,,
487,MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification,加密流量分类与应用识别,强相关,MIETT,https://github.com/SeciliaCxy/MIETT,downloaded,source\MIETT,,Tor、tor,README.md、readme.md、Readme.md,,,
487,MIETT: Multi-Instance Encrypted Traffic Transformer for Encrypted Traffic Classification,加密流量分类与应用识别,强相关,Secilia-Cxy/MIETT,https://github.com/Secilia-Cxy/MIETT,downloaded,source\MIETT,,Tor、tor,README.md、readme.md、Readme.md,,,
489,Mining Multi-Scale Spatial-Frequency Clues for Unsupervised Intrusion Detection,入侵检测与网络异常检测,强相关,MSF-IDS,https://github.com/qcydm/MSF-IDS,downloaded,source\MSF-IDS,Python:29,BoT-IoT、ToN、Tor、UNSW、dapt、nsl、ton、tor,README.md、readme.md、Readme.md,,,Data/datasets_CIC.py；Data/datasets_NF.py；Self_Supervised_Representation_Augmentor/FeatureExtractor.py
502,Normalizing-Flow-Based Anomaly Scoring for Intelligent Network Intrusion Detection,入侵检测与网络异常检测,强相关,trinity-packet,https://github.com/SRI-CSL/trinity-packet,downloaded,source\trinity-packet,"Python:14, Jupyter:2, YAML:1",Tor、UNSW、cert、nsl、quic、tor、unsw,README.md、readme.md、Readme.md,,code/netflow/data_structures/network_model.py,code/netflow/context_pcap/dataset.py；code/netflow/context_pcap/preprocess.py；code/netflow/data_structures/dataset.py
503,NTLFlowLyzer: Towards generating an intrusion detection dataset and intruders behavior profiling through network and transport layers traffic analysis and pattern extraction,入侵检测与网络异常检测,强相关,ahlashkari/NTLFlowLyzer,https://github.com/ahlashkari/NTLFlowLyzer,downloaded,source\NTLFlowLyzer,"Python:25, JSON:1",cert、tor,README.md、readme.md、Readme.md,,NTLFlowLyzer/network_flow_analyzer.py；NTLFlowLyzer/network_flow_capturer/network_flow_capturer.py,NTLFlowLyzer/feature_extractor.py；NTLFlowLyzer/features/feature.py
